"","YEAR","MODE","ESTRIPS"
"1",2004,"CHARTER BOAT",192094.43799336
"2",2005,"CHARTER BOAT",206639.1932201
"3",2006,"CHARTER BOAT",140486.550297119
"4",2007,"CHARTER BOAT",389377.565631397
"5",2008,"CHARTER BOAT",167943.249405386
"6",2009,"CHARTER BOAT",191561.918270479
"7",2010,"CHARTER BOAT",178186.150537301
"8",2011,"CHARTER BOAT",290630.260747112
"9",2012,"CHARTER BOAT",215440.64621778
"10",2013,"CHARTER BOAT",321195.08706826
"11",2014,"CHARTER BOAT",229466.31011363
"12",2015,"CHARTER BOAT",338493.92863951
"13",2016,"CHARTER BOAT",116526.960043831
"14",2017,"CHARTER BOAT",65034.957407505
"15",2018,"CHARTER BOAT",51396.638621238
"16",2019,"CHARTER BOAT",33909.271912971
"17",2020,"CHARTER BOAT",29105.579273968
"18",2021,"CHARTER BOAT",205478.138211
"19",2022,"CHARTER BOAT",109190.99449241
"20",2004,"PARTY BOAT",196010.43744661
"21",2005,"PARTY BOAT",176390.92993731
"22",2006,"PARTY BOAT",134912.865431157
"23",2007,"PARTY BOAT",245155.234044029
"24",2008,"PARTY BOAT",207190.186136702
"25",2009,"PARTY BOAT",193036.955912741
"26",2010,"PARTY BOAT",155709.543170392
"27",2011,"PARTY BOAT",166766.79955231
"28",2012,"PARTY BOAT",158365.0850312
"29",2013,"PARTY BOAT",258383.87075354
"30",2014,"PARTY BOAT",204310.38722624
"31",2015,"PARTY BOAT",230513.51482026
"32",2016,"PARTY BOAT",153937.66042352
"33",2017,"PARTY BOAT",193953.95184066
"34",2018,"PARTY BOAT",252735.18217312
"35",2019,"PARTY BOAT",231436.09689715
"36",2020,"PARTY BOAT",241891.334836494
"37",2021,"PARTY BOAT",193472.99578651
"38",2022,"PARTY BOAT",66163.8850712
"39",1981,"PARTY/CHARTER BOAT",572194.63674243
"40",1982,"PARTY/CHARTER BOAT",850618.9103725
"41",1983,"PARTY/CHARTER BOAT",961841.4530144
"42",1984,"PARTY/CHARTER BOAT",805018.7798868
"43",1985,"PARTY/CHARTER BOAT",536978.3971502
"44",1986,"PARTY/CHARTER BOAT",684512.2377582
"45",1987,"PARTY/CHARTER BOAT",723476.3013884
"46",1988,"PARTY/CHARTER BOAT",628137.5172294
"47",1989,"PARTY/CHARTER BOAT",450057.0268736
"48",1990,"PARTY/CHARTER BOAT",486036.5300641
"49",1991,"PARTY/CHARTER BOAT",590526.747851
"50",1992,"PARTY/CHARTER BOAT",382870.0271015
"51",1993,"PARTY/CHARTER BOAT",755540.1435913
"52",1994,"PARTY/CHARTER BOAT",573025.2316158
"53",1995,"PARTY/CHARTER BOAT",493434.1927745
"54",1996,"PARTY/CHARTER BOAT",313430.3701231
