"","Year","Variable","Val","Loc","N"
"1",1975,"Surf_Salinity",0.107055895066174,"NYB",236
"2",1976,"Surf_Salinity",0.00118173647787599,"NYB",208
"3",1977,"Surf_Salinity",0.589155989677141,"NYB",308
"4",1978,"Surf_Salinity",-0.128305180309895,"NYB",240
"5",1979,"Surf_Salinity",0.0836281457124822,"NYB",275
"6",1982,"Surf_Salinity",0.286184943185034,"NYB",13
"7",1984,"Surf_Salinity",-0.196887796927117,"NYB",21
"8",1985,"Surf_Salinity",0.369778756471323,"NYB",24
"9",1987,"Surf_Salinity",0.185267932434403,"NYB",267
"10",1988,"Surf_Salinity",-0.0545261850874647,"NYB",42
"11",1989,"Surf_Salinity",-0.27771111933295,"NYB",160
"12",1990,"Surf_Salinity",0.232554087885962,"NYB",42
"13",1991,"Surf_Salinity",-0.118926221184057,"NYB",168
"14",1992,"Surf_Salinity",-0.253213805703476,"NYB",215
"15",1993,"Surf_Salinity",-0.341223453023258,"NYB",226
"16",1994,"Surf_Salinity",-0.164710182238778,"NYB",254
"17",1995,"Surf_Salinity",0.501231494961221,"NYB",133
"18",1996,"Surf_Salinity",-0.630088879915193,"NYB",268
"19",1997,"Surf_Salinity",-0.735190109078849,"NYB",299
"20",1998,"Surf_Salinity",-1.05503416589547,"NYB",253
"21",1999,"Surf_Salinity",-0.162487644432715,"NYB",242
"22",2000,"Surf_Salinity",0.384370618945952,"NYB",243
"23",2001,"Surf_Salinity",-0.0320695243114309,"NYB",259
"24",2002,"Surf_Salinity",0.25163919878072,"NYB",276
"25",2003,"Surf_Salinity",0.0295682748319723,"NYB",196
"26",2004,"Surf_Salinity",0.205036726143783,"NYB",292
"27",2005,"Surf_Salinity",-0.593656209109086,"NYB",279
"28",2006,"Surf_Salinity",-0.242388754562626,"NYB",251
"29",2007,"Surf_Salinity",0.0933991183893144,"NYB",302
"30",2008,"Surf_Salinity",-0.26613381108404,"NYB",294
"31",2009,"Surf_Salinity",0.0809723126647982,"NYB",293
"32",2010,"Surf_Salinity",-0.377241993193961,"NYB",214
"33",2011,"Surf_Salinity",-0.42936588398662,"NYB",271
"34",2012,"Surf_Salinity",0.0451322314454204,"NYB",262
"35",2013,"Surf_Salinity",0.211664174154057,"NYB",237
"36",2014,"Surf_Salinity",0.73115430993202,"NYB",155
"37",2015,"Surf_Salinity",0.821219322311891,"NYB",160
"38",2016,"Surf_Salinity",0.477714636793833,"NYB",186
"39",2017,"Surf_Salinity",0.569649704701616,"NYB",121
"40",2018,"Surf_Salinity",0.196936957078792,"NYB",203
"41",2019,"Surf_Salinity",-0.710841728767655,"NYB",72
"42",2020,"Surf_Salinity",-0.189671955374515,"NYB",75
"43",2021,"Surf_Salinity",-0.00123763542142946,"NYB",63
"44",2022,"Surf_Salinity",0.5064156708948,"NYB",49
