"","YEAR","TL"
"1",1963,4.09562082717317
"2",1964,4.24306510657521
"3",1965,4.13903642958815
"4",1966,4.18396087326764
"5",1967,4.12084909208527
"6",1968,4.04049726856451
"7",1969,4.18976991006636
"8",1970,3.99690219001728
"9",1971,3.83357411533309
"10",1972,4.02042100403135
"11",1973,3.80642683516314
"12",1974,4.03018054292996
"13",1975,4.0741505555652
"14",1976,3.83986091989697
"15",1977,4.05631924033965
"16",1978,3.9903269645104
"17",1979,4.08987820119563
"18",1980,3.93079703158874
"19",1981,4.09793060056173
"20",1982,3.78330494214056
"21",1983,3.85094133490149
"22",1984,4.02438525639947
"23",1985,3.98978231826599
"24",1986,3.55309046977998
"25",1987,3.80429315092886
"26",1988,3.99934510188694
"27",1989,4.182781666111
"28",1990,3.68788714270506
"29",1991,3.81142263020992
"30",1992,3.76913201415586
"31",1993,3.78031121124202
"32",1994,3.81131212528474
"33",1995,3.85775086338399
"34",1996,3.96471938751076
"35",1997,3.82124299043596
"36",1998,4.13877891583688
"37",1999,3.8034780626801
"38",2000,3.50040010569352
"39",2001,3.79324416463279
"40",2002,3.83782117964101
"41",2003,3.92402145966374
"42",2004,4.17576470661564
"43",2005,3.67781869615096
"44",2006,4.09479753473443
"45",2007,3.95542009826142
"46",2008,3.7845825665089
"47",2009,3.94657831146291
"48",2010,3.90659202675268
"49",2011,4.42110337521363
"50",2012,4.10706024819674
"51",2013,3.49316356936299
"52",2014,3.83918931317242
"53",2015,4.06280015257054
"54",2016,3.71314321493659
"55",2018,3.77857321514056
"56",2019,3.86443205151788
"57",2021,3.78318853594978
