"","YEAR","TL"
"1",1968,4.03430794577129
"2",1969,3.87116023538685
"3",1970,3.85639376877817
"4",1971,4.09267917665062
"5",1972,4.17321417521506
"6",1973,3.9759886940842
"7",1974,4.16203871244708
"8",1975,4.1616434314717
"9",1976,4.03209842346673
"10",1977,4.12532944313597
"11",1978,3.95912501276984
"12",1979,4.02611963396154
"13",1980,4.1317935581529
"14",1981,4.05666267901291
"15",1982,4.21289410562306
"16",1983,4.03619844877582
"17",1984,4.01856893201667
"18",1985,4.22090956402255
"19",1986,4.09036378067082
"20",1987,4.23830807868261
"21",1988,4.20547293482605
"22",1989,4.15553802694736
"23",1990,4.24261438565824
"24",1991,4.21783527017007
"25",1992,4.20590285705211
"26",1993,4.01167697364509
"27",1994,4.00488341345433
"28",1995,3.97756400953365
"29",1996,4.04918698914426
"30",1997,4.13965662542097
"31",1998,3.9058543698708
"32",1999,4.01646254342292
"33",2000,3.878809141052
"34",2001,3.82598443525545
"35",2002,4.03145094116564
"36",2003,4.03922843978701
"37",2004,3.84164830830456
"38",2005,3.88285940429499
"39",2006,3.99419504564731
"40",2007,4.15142656832024
"41",2008,4.08185972144018
"42",2009,4.1397265256859
"43",2010,4.00389229939282
"44",2011,4.15570816096194
"45",2012,4.21007957655441
"46",2013,4.21689832977551
"47",2014,3.92817975784261
"48",2015,4.13392625872515
"49",2016,3.93660472065825
"50",2017,4.07393303250261
"51",2018,4.20373557533594
"52",2019,4.17415600651258
"53",2020,4.21855201008589
"54",2021,4.2223245589428
"55",2022,4.02260326728643
