"","YEAR","strat.biomass"
"1",1963,0.191121950906828
"2",1964,0.0790352472558636
"3",1965,0.0303822697814248
"4",1967,0.0243058158251399
"5",1969,0.0141134370099756
"6",1971,0
"7",1972,0
"8",1973,0
"9",1974,0
"10",1975,0.011761197508313
"11",1976,0.0188179160133009
"12",1977,0.0846806220598538
"13",1978,0.102263365200267
"14",1979,0.0141134370099756
"15",1980,0
"16",1981,0.0508083732359123
"17",1982,0.0642486120590579
"18",1983,0.00282268740199513
"19",1984,0
"20",1985,0.0490043305925972
"21",1986,0
"22",1987,0.0237278301994649
"23",1990,0
"24",1992,0
"25",1995,0.0282268740199513
"26",1996,0.00282268740199513
"27",1997,0.00705671850498782
"28",1998,0
"29",1999,0.0264789312255387
"30",2000,0.0112907496079805
"31",2001,0.0589941667016982
"32",2002,0.203140184321209
"33",2003,0.037263917705159
"34",2004,0.0987059452462942
"35",2005,0.0657403895924665
"36",2006,0.0694391727737746
"37",2007,0.0649218102458879
"38",2008,2.82268740199513e-05
"39",2009,0.0298256339319698
"40",2010,0.091365631006521
"41",2011,0.066570871656567
"42",2012,0.172168094931524
"43",2013,0.341857698158858
"44",2014,0.392315165287188
"45",2015,0.651964691318285
"46",2016,0.198238894759074
"47",2018,1.17617097004127
"48",2019,0.271790425955394
"49",2021,0.688644826195801
