Year,Year_Season,Season,DO,transect,T,Quarterly
2019,2019.1,Winter,10.515,1.1,1,2019
2019,2019.1,Winter,9.483,1.2,1,2019
2019,2019.1,Winter,9.4211,1.4,1,2019
2019,2019.1,Winter,7.4386,1.5,1,2019
2019,2019.1,Winter,6.3206,1.6,1,2019
2019,2019.1,Winter,6.6534,2.6,2,2019
2019,2019.1,Winter,9.1922,2.4,2,2019
2019,2019.1,Winter,8.2463,3.6,3,2019
2019,2019.1,Winter,6.7459,3.5,3,2019
2019,2019.1,Winter,8.3286,3.4,3,2019
2019,2019.1,Winter,9.5256,3.3,3,2019
2019,2019.1,Winter,10.0785,3.1,3,2019
2019,2019.1,Winter,10.3448,4.1,4,2019
2019,2019.1,Winter,9.9407,4.2,4,2019
2019,2019.1,Winter,9.546,4.3,4,2019
2019,2019.1,Winter,6.7412,4.5,4,2019
2019,2019.1,Winter,7.1352,4.6,4,2019
2019,2019.1,Winter,7.6901,4.7,4,2019
2019,2019.1,Winter,9.3021,6.5,6,2019
2019,2019.1,Winter,10.0246,6.4,6,2019
2019,2019.1,Winter,9.4939,6.3,6,2019
2019,2019.1,Winter,9.259,6.2,6,2019
2019,2019.2,Spring,9.2519,6.15,6,2019.25
2019,2019.2,Spring,7.39,6.3,6,2019.25
2019,2019.2,Spring,8.0366,6.4,6,2019.25
2019,2019.2,Spring,8.0871,6.5,6,2019.25
2019,2019.2,Spring,6.7207,6.6,6,2019.25
2019,2019.2,Spring,7.4009,5.6,5,2019.25
2019,2019.2,Spring,7.8484,4.5,4,2019.25
2019,2019.2,Spring,8.3336,4.4,4,2019.25
2019,2019.2,Spring,8.0144,4.3,4,2019.25
2019,2019.2,Spring,8.1062,4.2,4,2019.25
2019,2019.2,Spring,8.326,4.1,4,2019.25
2019,2019.2,Spring,8.3277,3.1,3,2019.25
2019,2019.2,Spring,7.6681,3.2,3,2019.25
2019,2019.3,Summer,7.865,1.1,1,2019.5
2019,2019.3,Summer,7.0333,1.2,1,2019.5
2019,2019.3,Summer,7.7971,1.3,1,2019.5
2019,2019.3,Summer,7.1442,1.4,1,2019.5
2019,2019.3,Summer,7.8318,1.5,1,2019.5
2019,2019.3,Summer,5.8851,3.5,3,2019.5
2019,2019.3,Summer,6.1811,3.4,3,2019.5
2019,2019.3,Summer,7.6404,3.3,3,2019.5
2019,2019.3,Summer,7.4584,3.2,3,2019.5
2019,2019.3,Summer,7.3482,3.1,3,2019.5
2019,2019.3,Summer,6.5709,4.1,4,2019.5
2019,2019.3,Summer,6.844,4.2,4,2019.5
2019,2019.3,Summer,7.0383,4.3,4,2019.5
2019,2019.3,Summer,7.6769,4.4,4,2019.5
2019,2019.3,Summer,5.9943,4.5,4,2019.5
2019,2019.3,Summer,6.0264,4.6,4,2019.5
2019,2019.3,Summer,5.5287,5.6,5,2019.5
2019,2019.3,Summer,6.0257,5.5,5,2019.5
2019,2019.3,Summer,7.48,5.4,5,2019.5
2019,2019.3,Summer,6.569,5.2,5,2019.5
2019,2019.3,Summer,7.4502,6.1,6,2019.5
2019,2019.3,Summer,6.2383,6.3,6,2019.5
2019,2019.3,Summer,7.2573,6.4,6,2019.5
2019,2019.3,Summer,7.4774,6.5,6,2019.5
