"","YEAR","strat.biomass"
"1",1963,2.07664422864389
"2",1964,8.57274765209924
"3",1965,5.84147353241933
"4",1966,3.98157100744821
"5",1967,8.25885774546891
"6",1968,22.4479016315465
"7",1969,31.0778594784631
"8",1970,7.17835714595879
"9",1971,14.2954148776518
"10",1972,8.88179554042047
"11",1973,37.243005003634
"12",1974,17.6522072704304
"13",1975,17.8379659320241
"14",1976,33.6501134394775
"15",1977,18.7715297609857
"16",1978,17.6986201128393
"17",1979,33.0982946456467
"18",1980,34.218382140048
"19",1981,53.4783989675085
"20",1982,36.7155542285862
"21",1983,45.6622863685557
"22",1984,69.7239236314615
"23",1985,63.363696908887
"24",1986,30.5614996469576
"25",1987,12.9017762888911
"26",1988,35.712426774056
"27",1989,47.6887716220114
"28",1990,30.3513288576854
"29",1991,17.8942814985161
"30",1992,13.3903708543334
"31",1993,35.5065919677857
"32",1994,51.3969280880098
"33",1995,15.971767934608
"34",1996,26.530462118866
"35",1997,22.6645814411949
"36",1998,12.3619358338889
"37",1999,29.9266089681452
"38",2000,30.940104295977
"39",2001,15.2485810277466
"40",2002,18.904091352858
"41",2003,13.958961160304
"42",2004,10.9708637252641
"43",2005,13.3401221042006
"44",2006,38.9905259708218
"45",2007,12.2262427425054
"46",2008,18.7824464707886
"47",2009,32.6409122314236
"48",2010,35.6416725909918
"49",2011,22.5934011355083
"50",2012,26.5932693184763
"51",2013,36.3360960930064
"52",2014,36.505894147688
"53",2015,31.040795179597
"54",2016,25.9242415429354
"55",2018,20.1134068318934
"56",2019,23.7856190673933
"57",2021,47.6278230648496
