# ---------------------------------- WARNING ----------------------------------------,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,
# may not have received Director's approval. Any such data values are qualified,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,
# for any damages resulting from its use.,,,,
#,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,
#,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,
#,,,,
# Contact:   gs-w_waterdata_support@usgs.gov,,,,
# retrieved: 2022-09-29 16:20:21 EDT       (sdww01),,,,
#,,,,
# Data for the following 1 site(s) are contained in this file,,,,
#    USGS 01358000 HUDSON RIVER AT GREEN ISLAND NY,,,,
# -----------------------------------------------------------------------------------,,,,
#,,,,
# Data provided for site 01358000,,,,
#            TS   parameter     statistic     Description,,,,
"#        105057       00060     00003     Discharge, cubic feet per second (Mean)",,,,
#,,,,
# Data-value qualification codes included in this output:,,,,
#        ,,,,
#     A  Approved for publication -- Processing and review completed.,,,,
#     P  Provisional data subject to revision.,,,,
#     e  Value has been estimated.,,,,
# ,,,,
agency_cd,site_no,datetime,105057_00060_00003,105057_00060_00003_cd
5s,15s,20d,14n,10s
USGS,1358000,1/1/93,41200,A:e
USGS,1358000,1/2/93,29000,A:e
USGS,1358000,1/3/93,21600,A:e
USGS,1358000,1/4/93,19900,A:e
USGS,1358000,1/5/93,28400,A:e
USGS,1358000,1/6/93,42200,A:e
USGS,1358000,1/7/93,36500,A:e
USGS,1358000,1/8/93,29900,A:e
USGS,1358000,1/9/93,24600,A:e
USGS,1358000,1/10/93,19900,A:e
USGS,1358000,1/11/93,17100,A:e
USGS,1358000,1/12/93,15900,A:e
USGS,1358000,1/13/93,14900,A:e
USGS,1358000,1/14/93,14600,A:e
USGS,1358000,1/15/93,14400,A:e
USGS,1358000,1/16/93,14300,A:e
USGS,1358000,1/17/93,14600,A:e
USGS,1358000,1/18/93,14500,A:e
USGS,1358000,1/19/93,13300,A:e
USGS,1358000,1/20/93,11900,A:e
USGS,1358000,1/21/93,12500,A:e
USGS,1358000,1/22/93,13000,A:e
USGS,1358000,1/23/93,14100,A:e
USGS,1358000,1/24/93,15300,A:e
USGS,1358000,1/25/93,17300,A:e
USGS,1358000,1/26/93,16900,A:e
USGS,1358000,1/27/93,15100,A:e
USGS,1358000,1/28/93,14000,A:e
USGS,1358000,1/29/93,13000,A:e
USGS,1358000,1/30/93,11800,A:e
