"","YEAR","strat.biomass"
"1",1968,7.26472156454379
"2",1969,1.52861019588123
"3",1970,1.56648594014201
"4",1971,4.45813671474783
"5",1972,5.35811271802674
"6",1973,3.90191802695614
"7",1974,3.99463551747027
"8",1975,7.67052498580439
"9",1976,9.1808763280098
"10",1977,1.5942991984896
"11",1978,2.143576234827
"12",1979,3.81076089022073
"13",1980,2.56966568462721
"14",1981,1.23459715120704
"15",1982,4.35338937001197
"16",1983,3.39506637968281
"17",1984,3.58711384852462
"18",1985,1.58680920752952
"19",1986,4.09824531363662
"20",1987,4.90160934485342
"21",1988,4.36521861005469
"22",1989,3.57395247968624
"23",1990,3.23972564081136
"24",1991,6.58151710885344
"25",1992,1.55582129531559
"26",1993,2.16485549054188
"27",1994,0.908763244685095
"28",1995,2.17327068283125
"29",1996,0.830743218511707
"30",1997,2.49163968346029
"31",1998,2.19527472220417
"32",1999,5.88455068902103
"33",2000,4.4010919706986
"34",2001,2.89799355299702
"35",2002,5.31995614602827
"36",2003,0.29583238234291
"37",2004,1.33078650268786
"38",2005,1.78700253826884
"39",2006,4.38378003228511
"40",2007,3.32143519051197
"41",2008,0.798627507694662
"42",2009,1.31885708381812
"43",2010,0.658757488331866
"44",2011,0.3267665183201
"45",2012,4.08302510016697
"46",2013,0.44330416874681
"47",2014,1.54617849434077
"48",2015,0.65687496249255
"49",2016,2.97320451811433
"50",2017,1.9823087153873
"51",2018,1.06492976673654
"52",2019,1.29703312751594
"53",2020,2.17561461034388
"54",2021,1.58455548339696
"55",2022,2.45421858186777
