"","YEAR","strat.biomass"
"1",1968,225.140184291645
"2",1969,143.435642122493
"3",1970,104.22543433703
"4",1971,161.803615956529
"5",1972,238.767159833234
"6",1973,215.497434373474
"7",1974,224.492634705398
"8",1975,126.977664434116
"9",1976,105.419808946248
"10",1977,122.075258950662
"11",1978,96.0405880617551
"12",1979,55.9547613892391
"13",1980,180.791896806927
"14",1981,189.063860993214
"15",1982,224.145471466782
"16",1983,101.971498994825
"17",1984,101.411614507341
"18",1985,432.341201208005
"19",1986,153.403537510286
"20",1987,413.822399036652
"21",1988,357.151467612835
"22",1989,248.582407501389
"23",1990,300.49249158951
"24",1991,304.344671067639
"25",1992,226.998656902756
"26",1993,125.286328601521
"27",1994,78.6157627252886
"28",1995,96.7030191954793
"29",1996,185.795988714319
"30",1997,183.650906027217
"31",1998,91.5362180381402
"32",1999,244.327983675801
"33",2000,61.3692491589284
"34",2001,62.4042019105593
"35",2002,196.592837822112
"36",2003,99.7304403385792
"37",2004,44.4915157167984
"38",2005,36.5191549433382
"39",2006,121.442079906179
"40",2007,83.6727245442141
"41",2008,205.823012785106
"42",2009,289.776410641678
"43",2010,149.796715063759
"44",2011,208.443067275644
"45",2012,332.221846487587
"46",2013,215.078697128546
"47",2014,200.001428679378
"48",2015,100.260386426983
"49",2016,107.690748562677
"50",2017,99.5757325145733
"51",2018,217.91180128657
"52",2019,163.704863111528
"53",2020,118.991088520213
"54",2021,349.78785526735
"55",2022,68.9343612702173
