"","YEAR","strat.biomass"
"1",1963,3.96555274159876
"2",1964,12.7048168868779
"3",1965,6.90795057253039
"4",1966,7.84042314898032
"5",1967,8.98998058491264
"6",1968,22.8883929336566
"7",1969,33.4720508559492
"8",1970,7.53090522828233
"9",1971,15.1473717704789
"10",1972,12.2615165863701
"11",1973,38.366289051737
"12",1974,18.5109159249685
"13",1975,23.8066075237936
"14",1976,35.2872104186496
"15",1977,23.3225448612344
"16",1978,21.3440294607516
"17",1979,34.7938730259096
"18",1980,38.4189374168441
"19",1981,60.0069530452248
"20",1982,40.1660796619028
"21",1983,47.5048396931466
"22",1984,70.5291510016886
"23",1985,68.2944211450687
"24",1986,32.1861597965094
"25",1987,13.8413957189928
"26",1988,38.6632145551698
"27",1989,117.484460518976
"28",1990,33.8774647469785
"29",1991,18.0978495442936
"30",1992,15.3927439086261
"31",1993,36.711205605743
"32",1994,55.7274273633269
"33",1995,18.1682895820701
"34",1996,28.5401915264676
"35",1997,24.3552229037967
"36",1998,12.8923431992435
"37",1999,32.4752907384585
"38",2000,33.2692457053476
"39",2001,18.6540070018237
"40",2002,20.5215629601683
"41",2003,14.2954675089988
"42",2004,13.2866188132319
"43",2005,13.4977414591995
"44",2006,41.7409621581596
"45",2007,13.2388692191708
"46",2008,19.4476861441048
"47",2009,35.0712892823516
"48",2010,44.976369457376
"49",2011,156.233290637641
"50",2012,66.8230735220337
"51",2013,38.1253570863347
"52",2014,42.9478327630615
"53",2015,37.4936646302031
"54",2016,38.6588586987069
"55",2018,30.8598023353957
"56",2019,30.8748280399322
"57",2021,56.7774722201048
