"","YEAR","strat.biomass"
"1",1963,3.35668248270243
"2",1964,9.94463996560695
"3",1965,8.12248421483295
"4",1966,8.86164417062084
"5",1967,10.67834979973
"6",1968,22.8250049511494
"7",1969,28.7890869905915
"8",1970,7.96790910901294
"9",1971,11.8905555106507
"10",1972,11.2595826856127
"11",1973,30.4973238177193
"12",1974,17.8608411928373
"13",1975,17.948914969726
"14",1976,34.4370125119755
"15",1977,19.2816744296889
"16",1978,18.2988072704477
"17",1979,34.1337267213899
"18",1980,35.3478969675557
"19",1981,53.9313172349553
"20",1982,32.2572254995261
"21",1983,45.1973944945046
"22",1984,61.9666573911017
"23",1985,63.6814403100228
"24",1986,26.48555241412
"25",1987,13.1301705379445
"26",1988,35.7959298569128
"27",1989,47.9858181589636
"28",1990,30.3836779608988
"29",1991,17.991148399485
"30",1992,13.7841713556039
"31",1993,35.5750993343043
"32",1994,49.3543182362021
"33",1995,12.4606812378418
"34",1996,24.9952422169565
"35",1997,22.3411558353021
"36",1998,11.9353170549329
"37",1999,29.9162607773797
"38",2000,29.4013535475929
"39",2001,15.2174557637851
"40",2002,19.2231602491483
"41",2003,14.1761257333057
"42",2004,10.2813567401962
"43",2005,13.7811175683484
"44",2006,38.8691656431171
"45",2007,11.4202708640113
"46",2008,16.4902322867884
"47",2009,32.1751397543331
"48",2010,26.1676491622385
"49",2011,15.3997734281251
"50",2012,27.0844325746946
"51",2013,32.2770787079699
"52",2014,36.8160515495564
"53",2015,31.8044111687368
"54",2016,25.8828830769738
"55",2018,26.1693078397741
"56",2019,29.7335029624598
"57",2021,50.7253017510682
