# ---------------------------------- WARNING ----------------------------------------,,,,,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,,,,,
# may not have received Director's approval. Any such data values are qualified,,,,,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,,,,,
# for any damages resulting from its use.,,,,,,,,
#,,,,,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,,,,,
#,,,,,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,,,,,
#,,,,,,,,
# Contact:   gs-w_waterdata_support@usgs.gov,,,,,,,,
# retrieved: 2022-09-29 12:40:46 EDT       (caww01),,,,,,,,
#,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,
#    USGS 01310740 REYNOLDS CHANNEL AT POINT LOOKOUT NY,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,
#,,,,,,,,
# Data provided for site 01310740,,,,,,,,
#            TS   parameter     statistic     Description,,,,,,,,
"#        104823       90860     00001     Salinity, water, unfiltered, practical salinity units at 25 degrees Celsius (Maximum), monitor",,,,,,,,
"#        104824       90860     00002     Salinity, water, unfiltered, practical salinity units at 25 degrees Celsius (Minimum), monitor",,,,,,,,
"#        104825       90860     00003     Salinity, water, unfiltered, practical salinity units at 25 degrees Celsius (Mean), monitor",,,,,,,,
#,,,,,,,,
# Data-value qualification codes included in this output:,,,,,,,,
#        ,,,,,,,,
#     A  Approved for publication -- Processing and review completed.,,,,,,,,
#     P  Provisional data subject to revision.,,,,,,,,
#     4  Statistic computed from less than expected number of instantaneous values for the period,,,,,,,,
# ,,,,,,,,
agency_cd,site_no,datetime,104823_90860_00001,104823_90860_00001_cd,104824_90860_00002,104824_90860_00002_cd,104825_90860_00003,104825_90860_00003_cd
5s,15s,20d,14n,10s,14n,10s,14n,10s
agency_cd,site_no,date,max,qc_max,min,qc_min,mean,qc_mean
USGS,1310740,10/28/04,30.8,A,29.9,A,30.4,A
USGS,1310740,10/29/04,30.8,A,30.2,A,30.6,A
USGS,1310740,10/30/04,30.8,A,30.2,A,30.6,A
USGS,1310740,10/31/04,30.8,A,30.2,A,30.5,A
USGS,1310740,11/1/04,30.6,A,29.8,A,30.4,A
USGS,1310740,11/2/04,30.9,A,30.2,A,30.6,A
USGS,1310740,11/3/04,30.9,A,30,A,30.6,A
USGS,1310740,11/4/04,30.9,A,30,A,30.6,A
USGS,1310740,11/5/04,30.8,A,29.2,A,29.9,A
USGS,1310740,11/6/04,31,A,29.5,A,30.2,A
USGS,1310740,11/7/04,30.9,A,30,A,30.5,A
USGS,1310740,11/8/04,31,A,29.7,A,30.5,A
USGS,1310740,11/9/04,31.3,A,30.1,A,30.7,A
USGS,1310740,11/10/04,31.3,A,30.2,A,30.8,A
USGS,1310740,11/11/04,31.2,A,30.4,A,30.9,A
USGS,1310740,11/12/04,31.3,A,30.5,A,30.9,A
USGS,1310740,11/13/04,31.1,A,30.1,A,30.6,A
USGS,1310740,11/14/04,31,A,30.4,A,30.7,A
USGS,1310740,11/15/04,31.1,A,30.5,A,30.8,A
USGS,1310740,11/16/04,31.3,A,30.6,A,30.9,A
USGS,1310740,11/17/04,31.3,A,30.5,A,30.9,A
USGS,1310740,11/18/04,31.1,A,30.5,A,30.9,A
USGS,1310740,11/19/04,31.1,A,30.3,A,30.8,A
USGS,1310740,11/20/04,31,A,30.5,A,30.8,A
USGS,1310740,11/21/04,30.8,A,30.1,A,30.5,A
USGS,1310740,11/22/04,30.6,A,29.9,A,30.4,A
USGS,1310740,11/23/04,30.8,A,29.9,A,30.3,A
USGS,1310740,11/24/04,30.8,A,29.9,A,30.4,A
USGS,1310740,11/25/04,30.8,A,29.7,A,30.2,A
USGS,1310740,11/26/04,30.8,A,29.5,A,30.2,A
USGS,1310740,11/27/04,30.7,A,29.8,A,30.3,A
USGS,1310740,11/28/04,30.8,A,29.3,A,30.1,A
USGS,1310740,11/29/04,30.7,A,28.7,A,29.8,A
USGS,1310740,11/30/04,30.8,A,29,A,30,A
USGS,1310740,12/1/04,30.9,A,29,A,30,A
USGS,1310740,12/2/04,30.5,A,28.8,A,29.7,A
USGS,1310740,12/3/04,30,A,28.8,A,29.6,A
USGS,1310740,12/4/04,30.3,A,29,A,29.7,A
USGS,1310740,12/5/04,31.1,A,29,A,29.7,A
USGS,1310740,12/6/04,30.8,A,29.1,A,30.1,A
USGS,1310740,12/7/04,30.4,A,28.8,A,29.8,A
USGS,1310740,12/8/04,30.2,A,28.7,A,29.5,A
USGS,1310740,12/9/04,30.2,A,28.7,A,29.6,A
USGS,1310740,12/10/04,30.5,A,28.9,A,29.8,A
USGS,1310740,12/11/04,30.4,A,28.4,A,29.7,A
USGS,1310740,12/12/04,30,A,28.8,A,29.6,A
USGS,1310740,12/13/04,30.3,A,29,A,29.8,A
USGS,1310740,12/14/04,30.5,A,29,A,29.9,A
USGS,1310740,12/15/04,30.4,A,29.6,A,30,A
USGS,1310740,12/16/04,30.5,A,29.5,A,30.2,A
USGS,1310740,12/17/04,31.1,A,29.6,A,30.4,A
USGS,1310740,12/18/04,30.9,A,30,A,30.6,A
USGS,1310740,12/19/04,30.8,A,30,A,30.5,A
USGS,1310740,12/20/04,30.9,A,30.1,A,30.4,A
USGS,1310740,12/21/04,31,A,30.2,A,30.7,A
USGS,1310740,12/22/04,31,A,30.1,A,30.7,A
USGS,1310740,12/23/04,31.1,A,29.6,A,30.6,A
USGS,1310740,12/24/04,30.8,A,29.3,A,30.1,A
USGS,1310740,12/25/04,30.8,A,29.4,A,30.3,A
USGS,1310740,12/26/04,30.8,A,29.4,A,30.4,A
USGS,1310740,12/27/04,30.8,A,29.8,A,30.4,A
USGS,1310740,12/28/04,31,A,30.1,A,30.6,A
USGS,1310740,12/29/04,31.2,A,30,A,,
USGS,1310740,12/30/04,30.8,A,29.7,A,30.4,A
USGS,1310740,12/31/04,30.8,A,29.7,A,30.4,A
USGS,1310740,1/1/05,30.6,A,29.2,A,30,A
USGS,1310740,1/2/05,30.9,A,29.5,A,30.3,A
USGS,1310740,1/3/05,30.5,A,29.2,A,30.1,A
USGS,1310740,1/4/05,30.5,A,29.1,A,30,A
USGS,1310740,1/5/05,30.5,A,29,A,29.8,A
USGS,1310740,1/6/05,30.7,A,28.9,A,29.8,A
USGS,1310740,1/7/05,30.5,A,28.4,A,29.6,A
USGS,1310740,1/8/05,30.6,A,28.7,A,29.9,A
USGS,1310740,1/9/05,30.6,A,28.7,A,29.9,A
USGS,1310740,1/10/05,30.6,A,29.1,A,30,A
USGS,1310740,1/11/05,30.7,A,29.3,A,30.1,A
USGS,1310740,1/12/05,30.8,A,29.7,A,30.3,A
USGS,1310740,1/13/05,30.6,A,29.6,A,30.1,A
USGS,1310740,1/14/05,30.6,A,28.8,A,29.8,A
USGS,1310740,1/15/05,30.6,A,29,A,29.8,A
USGS,1310740,1/16/05,30.6,A,29.3,A,30.1,A
USGS,1310740,1/17/05,30.7,A,29.4,A,30.1,A
USGS,1310740,1/18/05,30.8,A,29.7,A,30.2,A
USGS,1310740,1/19/05,31.1,A,30,A,30.7,A
USGS,1310740,1/20/05,31.1,A,30,A,30.7,A
USGS,1310740,1/21/05,31,A,30.2,A,30.7,A
USGS,1310740,1/22/05,31.3,A,30.4,A,31,A
USGS,1310740,1/23/05,31.2,A,30.6,A,31,A
USGS,1310740,1/24/05,31.6,A,30.9,A,31.3,A
USGS,1310740,1/25/05,31.6,A,30.6,A,31.3,A
USGS,1310740,1/26/05,31.4,A,30.6,A,31.1,A
USGS,1310740,1/27/05,31.6,A,30.8,A,31.2,A
USGS,1310740,1/28/05,31.8,A,31,A,31.5,A
USGS,1310740,1/29/05,31.8,A,31,A,31.5,A
USGS,1310740,1/30/05,31.6,A,30.8,A,31.3,A
USGS,1310740,1/31/05,31.6,A,30.7,A,31.2,A
USGS,1310740,2/1/05,31.5,A,30.6,A,31.2,A
USGS,1310740,2/2/05,31.4,A,30.5,A,31.1,A
USGS,1310740,2/3/05,31.4,A,30.4,A,31,A
USGS,1310740,2/4/05,31.4,A,30,A,30.7,A
USGS,1310740,2/5/05,31.5,A,29.7,A,30.7,A
USGS,1310740,2/6/05,31.4,A,29.7,A,30.6,A
USGS,1310740,2/7/05,31.1,A,29.7,A,30.5,A
USGS,1310740,2/8/05,31.1,A,29.7,A,30.5,A
USGS,1310740,2/9/05,31,A,29.7,A,30.5,A
USGS,1310740,2/10/05,31,A,29.7,A,30.3,A
USGS,1310740,2/11/05,30.9,A,29.7,A,30.3,A
