"","YEAR","strat.biomass"
"1",1968,0.0879259392319471
"2",1969,0.00685314592650016
"3",1970,0.00783248292429482
"4",1971,0.0132346437622505
"5",1972,0
"6",1973,0.00596919050371526
"7",1974,0.227953571794241
"8",1975,0.0242387286614251
"9",1976,0.029740773268475
"10",1977,0.0127346657026624
"11",1978,0.00416369364839542
"12",1979,0.0429592607009664
"13",1980,0.0281991777770749
"14",1981,0.0450677031420027
"15",1982,0.0743452734876733
"16",1983,0.0098438621678537
"17",1984,0.00711217638897676
"18",1985,0.00948253389834637
"19",1987,0.0189253646405761
"20",1988,0.0071824065015002
"21",1989,0.00676226087598929
"22",1990,0.0100060832811994
"23",1991,0.18823226222524
"24",1992,0.0280557996285963
"25",1993,0.0690417048254899
"26",1994,0.0166328451370674
"27",1995,0.0405109366905502
"28",1996,0.00761944887435412
"29",1997,0.00558925507197672
"30",1998,0.069984772126325
"31",1999,0.0400411120234054
"32",2000,0.0119321554379886
"33",2001,0.015845302980224
"34",2002,0.00345108076536171
"35",2003,0.00248851200236406
"36",2004,0.014230672918523
"37",2005,0.00100460279196782
"38",2006,0.0231625705289185
"39",2007,0.034220779800061
"40",2008,0.00394306479247826
"41",2009,0.230589067372514
"42",2010,0.0267649235029194
"43",2011,0.0196520529866277
"44",2012,0.173793123643933
"45",2013,0.00544293033330932
"46",2014,0.0559385980176778
"47",2015,0.0133833369749055
"48",2016,1.10643656130805
"49",2017,0.0857268822356462
"50",2018,0.0473435655570183
"51",2019,0.155897565334333
"52",2020,0.0966800138246036
"53",2021,0.301266435130412
"54",2022,0.0638597947631941
