"","YEAR","strat.biomass"
"1",1968,0.0614542912320834
"2",1971,0.435476969303165
"3",1972,0.0377274717358429
"4",1973,0.540752149086268
"5",1974,0.758108001253627
"6",1975,1.37088782077091
"7",1976,1.05317065960228
"8",1977,1.31037347757332
"9",1978,0.826517649445647
"10",1979,0.274421498756022
"11",1980,0.44153713853918
"12",1981,0.635795876059153
"13",1982,1.38048524721046
"14",1983,0.582517025517212
"15",1984,0.230276156980099
"16",1985,1.86963383265392
"17",1986,1.00624620395862
"18",1987,0.499850377653805
"19",1988,0.24337384266852
"20",1989,0.325419632020756
"21",1990,0.248215237738321
"22",1991,0.147117332913608
"23",1992,0.436155783540369
"24",1993,0.237541905559045
"25",1994,0.46358274059721
"26",1995,0.321945612734474
"27",1996,0.214094756232721
"28",1997,0.693154187002065
"29",1998,0.642571705396205
"30",1999,0.663347377100344
"31",2000,2.27249542125961
"32",2001,2.84242752031033
"33",2002,3.52377728385203
"34",2003,3.59440160120721
"35",2004,2.63183548352415
"36",2005,2.23607413477275
"37",2006,1.85864027858745
"38",2007,2.96816090822382
"39",2008,1.85104667217275
"40",2009,1.37977534056336
"41",2010,1.95535476998849
"42",2011,2.30931547593429
"43",2012,2.79719073437713
"44",2013,2.11655917421533
"45",2014,1.37597597030563
"46",2015,2.18700240196983
"47",2016,1.41333728073228
"48",2017,0.853231185541163
"49",2018,2.30401713613364
"50",2019,2.22013026594085
"51",2020,1.06845671361149
"52",2021,1.57126103542021
"53",2022,1.19620245610647
