"","YEAR","strat.biomass"
"1",1963,205.190874542312
"2",1964,378.002025462192
"3",1965,216.126816845363
"4",1966,224.460242408203
"5",1967,217.01519436159
"6",1968,163.6333868365
"7",1969,440.466456029696
"8",1970,105.922867332612
"9",1971,73.2835117851182
"10",1972,154.780367728625
"11",1973,88.0512734404195
"12",1974,54.5893369924978
"13",1975,120.725580464643
"14",1976,71.076354937427
"15",1977,104.998909512395
"16",1978,60.1928077931524
"17",1979,142.949766899772
"18",1980,104.121169532194
"19",1981,243.32600548872
"20",1982,88.4726451630708
"21",1983,109.058528315926
"22",1984,172.440941181104
"23",1985,146.754876180151
"24",1986,57.3016658713492
"25",1987,56.1908638613601
"26",1988,117.73047151847
"27",1989,142.985325903555
"28",1990,64.485766549811
"29",1991,46.590542389534
"30",1992,43.9807603664758
"31",1993,54.2948289539344
"32",1994,74.3511910563221
"33",1995,45.5864591906332
"34",1996,72.5164289344358
"35",1997,74.6431841826274
"36",1998,138.429807233162
"37",1999,91.1607466771097
"38",2000,88.9152822392537
"39",2001,89.5167454491856
"40",2002,116.206832272769
"41",2003,154.71088581536
"42",2004,145.452977685358
"43",2005,115.952645225843
"44",2006,156.510842848171
"45",2007,56.5193579921523
"46",2008,58.0376827290403
"47",2009,116.367617949899
"48",2010,141.765051058848
"49",2011,207.231019583103
"50",2012,215.186139730729
"51",2013,188.409917091209
"52",2014,92.7008467415381
"53",2015,203.917466374948
"54",2016,99.9187138420886
"55",2018,98.9289567537969
"56",2019,76.7269347599877
"57",2021,88.2404153538653
