"","YEAR","strat.biomass"
"1",1968,0.989279480126147
"2",1969,1.21230630662451
"3",1970,1.26732907306482
"4",1971,1.20250075162705
"5",1972,0.571542309969834
"6",1973,0.341390930989181
"7",1974,0.291729181682394
"8",1975,0.0903461917175241
"9",1976,0.0900537654011168
"10",1977,0.253690824033851
"11",1978,0.151784442175021
"12",1979,0.308701936161812
"13",1980,0.351482847270134
"14",1981,0.121412679159966
"15",1982,0.663652679986963
"16",1983,0.28833992718699
"17",1984,0.0799820036172369
"18",1985,1.8638028834363
"19",1986,0.241012847836352
"20",1987,0.189086802384235
"21",1988,0.132062695240254
"22",1989,0.229176398146547
"23",1990,0.675722409696115
"24",1991,0.409176853451692
"25",1992,0.355058140673327
"26",1993,0.612492694443903
"27",1994,0.330008797806113
"28",1995,0.0213206003735502
"29",1996,0.290510956017498
"30",1997,1.62231914287782
"31",1998,0.595224195206253
"32",1999,1.55228023816234
"33",2000,0.789337556235324
"34",2001,0.314712604394389
"35",2002,1.36820397910944
"36",2003,0.455239914881019
"37",2004,0.0830871463152699
"38",2005,0.127358440770346
"39",2006,0.429827548973106
"40",2007,0.218758058446292
"41",2008,0.444125670261282
"42",2009,0.186197697838589
"43",2010,0.331397573615388
"44",2011,0.0420664480214442
"45",2012,0.235666811588801
"46",2013,0.128256144421816
"47",2014,2.01725287865056
"48",2015,0.0282123500957696
"49",2016,0.67849812334609
"50",2017,0.0754063637461278
"51",2018,0.183486426771225
"52",2019,0.0669566409802857
"53",2020,0.117327402025552
"54",2021,0.0255195794991698
"55",2022,0.229424456326366
