"","YEAR","strat.biomass"
"1",1963,201.225321800713
"2",1964,365.297208575314
"3",1965,209.212013126906
"4",1966,216.619819259222
"5",1967,207.412167088644
"6",1968,140.744993902843
"7",1969,406.994405173747
"8",1970,98.3919621043294
"9",1971,58.1361400146393
"10",1972,142.518851142255
"11",1973,49.6849843886826
"12",1974,36.0784210675293
"13",1975,96.9189729408492
"14",1976,35.7891445187774
"15",1977,81.6763646511606
"16",1978,38.8487783324008
"17",1979,108.155893873862
"18",1980,65.7022321153497
"19",1981,183.319052443495
"20",1982,48.306565501168
"21",1983,61.5527361916704
"22",1984,101.911790179415
"23",1985,78.4585501728638
"24",1986,25.1155060748398
"25",1987,42.3494681423673
"26",1988,79.0672569633002
"27",1989,25.5008653845787
"28",1990,30.6083018028325
"29",1991,28.4926928452404
"30",1992,28.5880164578497
"31",1993,17.5836233481914
"32",1994,18.6237636929952
"33",1995,27.4181696085632
"34",1996,43.9762374079682
"35",1997,50.2879612788308
"36",1998,125.529465065287
"37",1999,58.5535100813148
"38",2000,55.4621031204233
"39",2001,70.8602441708845
"40",2002,95.6821793130522
"41",2003,140.411656164971
"42",2004,132.162174505806
"43",2005,102.351486494729
"44",2006,114.762395084013
"45",2007,43.2406022851904
"46",2008,38.5035881167541
"47",2009,78.0773969270066
"48",2010,88.6798370288537
"49",2011,46.2459948203585
"50",2012,144.28376636621
"51",2013,148.041809810991
"52",2014,45.5492698987422
"53",2015,160.305416841466
"54",2016,59.1760008026333
"55",2018,63.7955827032599
"56",2019,43.8276958287672
"57",2021,24.8174602518309
"58",2022,63.0513004695012
