"","YEAR","strat.biomass"
"1",1968,207.389277663464
"2",1969,134.199772507318
"3",1970,94.0483351535434
"4",1971,160.575934806733
"5",1972,244.754559625368
"6",1973,136.834844457148
"7",1974,218.021996052788
"8",1975,132.201924277352
"9",1976,117.026451393979
"10",1977,125.385349911835
"11",1978,111.611459625518
"12",1979,53.8585307875598
"13",1980,187.733221455897
"14",1981,190.831422672345
"15",1982,229.023955534523
"16",1983,107.568036869903
"17",1984,99.5517632276824
"18",1985,432.512482311754
"19",1986,134.048113899848
"20",1987,397.63713096125
"21",1988,343.395905160735
"22",1989,246.742269957328
"23",1990,296.373994308677
"24",1991,293.70197718923
"25",1992,213.746001784818
"26",1993,103.341299818695
"27",1994,58.5816395925261
"28",1995,75.568380472371
"29",1996,135.191931846149
"30",1997,163.789875465409
"31",1998,68.290131104608
"32",1999,196.219544537266
"33",2000,55.7313812711257
"34",2001,46.4425929013534
"35",2002,172.205777935104
"36",2003,86.014789612801
"37",2004,35.77157943883
"38",2005,24.0370519143087
"39",2006,87.3348617994436
"40",2007,77.6207878532587
"41",2008,155.982490218948
"42",2009,247.34396554786
"43",2010,147.069244730356
"44",2011,192.269158271127
"45",2012,335.217552390614
"46",2013,215.043652897447
"47",2014,197.761634605682
"48",2015,101.645611484237
"49",2016,104.176183265271
"50",2017,100.646615745869
"51",2018,210.222933891617
"52",2019,158.366577444857
"53",2020,121.927435812702
"54",2021,319.684973687664
"55",2022,73.5393173615095
