"","YEAR","strat.biomass"
"1",1971,0.0170890917118998
"2",1972,0.482811242255605
"3",1973,0.756013790418367
"4",1974,0
"5",1975,0.0077453123739311
"6",1976,0.00852218409971381
"7",1977,0.000590507287762445
"8",1978,0.00523892730514173
"9",1979,0.0321634445328354
"10",1980,0.0090313950000045
"11",1981,0.0304928111557786
"12",1982,0.0742888905338232
"13",1983,0.0908946415498877
"14",1984,0.02770793625826
"15",1985,0.078092648584268
"16",1986,0.0515395474156777
"17",1987,0.117890458558017
"18",1988,0.00597289253155614
"19",1989,0.0157314890288903
"20",1990,0.00724535632861963
"21",1991,0.0213002154433101
"22",1992,0.0564655507931995
"23",1993,0.00353262987646492
"24",1994,0.00940895800665043
"25",1995,0.00585911715836563
"26",1996,0.0488726272712718
"27",1997,0.0280779085711788
"28",1998,0.0168184907281558
"29",1999,0.0360433153240106
"30",2000,0.0501774988364587
"31",2001,0.0289675203149675
"32",2002,0.110037926668993
"33",2003,0.411066145388675
"34",2004,0.0109102174347294
"35",2005,0.0341571556019711
"36",2006,0.0621618632697885
"37",2007,0.0853330698890852
"38",2008,0.0194962433485806
"39",2009,0.181803580556688
"40",2010,0.257568002212185
"41",2011,0.206110115389773
"42",2012,0.719669168689822
"43",2013,0.173960881076673
"44",2014,0.259235854272939
"45",2015,0.264958209437201
"46",2016,0.0781145843315131
"47",2018,0.187187636133364
"48",2019,0.250043090380294
"49",2021,0.172432960639113
"50",2022,0.134326824686967
