"","YEAR","strat.biomass"
"1",1968,0.00447140405758138
"2",1973,0.640086783929515
"3",1974,0.213594323721953
"4",1975,0.139675312959734
"5",1976,0.418784808811335
"6",1977,0.202082569327458
"7",1978,0.181248941482464
"8",1979,0.0462745999583959
"9",1980,0.0504771877802787
"10",1981,0.0628987073864047
"11",1982,0.0235071621495182
"12",1983,0.00114219098775003
"13",1984,0.00882309584150037
"14",1985,0.0189418108569147
"15",1986,0.0071183853777397
"16",1987,0.0431376678679745
"17",1988,0.0255105349940871
"18",1991,0.00708608745314934
"19",1992,0
"20",1993,0.00661732188112527
"21",1994,0.000466533115972881
"22",1995,0.00977006608904057
"23",1998,0.111029609511701
"24",1999,0.0421860791713903
"25",2000,0.120309439095567
"26",2001,0.0533048147112347
"27",2002,0.135303455466976
"28",2003,0.0213192370470529
"29",2004,0.0036395270346189
"30",2005,0.00966941127451973
"31",2006,0.02019723560729
"32",2007,0.0427767192692672
"33",2008,0.0358653501833507
"34",2009,0.106614183845928
"35",2010,0.0879897600268892
"36",2011,0.0677342119128166
"37",2012,0.0545409693559375
"38",2013,0.034365252126834
"39",2014,0.0375193541876273
"40",2015,0.0489513779088707
"41",2016,0.0573913535898359
"42",2017,0.04521384864908
"43",2018,0.0748009744853032
"44",2019,0.101896925599289
"45",2021,0.0167419642549205
"46",2022,0.0321599181884705
