"","YEAR","strat.biomass"
"1",1963,194.581610933913
"2",1964,357.921662985279
"3",1965,202.646673885549
"4",1966,214.353306719326
"5",1967,206.525521969065
"6",1968,133.379066846326
"7",1969,397.399409610979
"8",1970,92.4425887505238
"9",1971,51.4426982439358
"10",1972,132.178890902986
"11",1973,36.7338063863583
"12",1974,28.2565150375087
"13",1975,89.871866025652
"14",1976,37.1475685469018
"15",1977,77.8661279910917
"16",1978,37.2758382181649
"17",1979,106.328703755649
"18",1980,57.8416624804568
"19",1981,194.492638362234
"20",1982,42.276703120203
"21",1983,46.3155357730145
"22",1984,97.7725365017311
"23",1985,69.089860149084
"24",1986,20.033300446585
"25",1987,38.5469556802672
"26",1988,71.31520808567
"27",1989,93.1615634401342
"28",1990,25.0370336306325
"29",1991,22.1610073721643
"30",1992,26.2310955879972
"31",1993,12.6184617007311
"32",1994,12.4079656552955
"33",1995,23.3932093459531
"34",1996,49.2464230535318
"35",1997,45.2067818991531
"36",1998,126.678850835469
"37",1999,52.5346369851007
"38",2000,49.8878814049804
"39",2001,58.7916475565295
"40",2002,88.2268215547363
"41",2003,131.115814160981
"42",2004,122.184611286382
"43",2005,99.4061236479769
"44",2006,107.629316740476
"45",2007,37.0606484158213
"46",2008,31.0534229482679
"47",2009,69.2514403756262
"48",2010,78.7511296133178
"49",2011,170.581449792283
"50",2012,162.562935564788
"51",2013,141.626735987306
"52",2014,28.8039758941527
"53",2015,142.592114190121
"54",2016,51.6020512136819
"55",2018,38.4611909793514
"56",2019,35.3772271015804
"57",2021,15.9441857818339
"58",2022,49.3018241928876
