"","YEAR","strat.biomass"
"1",1968,170.444708918961
"2",1969,85.5802425947138
"3",1970,59.0606125830072
"4",1971,137.5492122073
"5",1972,217.125909891544
"6",1973,116.823817369213
"7",1974,207.39209932198
"8",1975,125.861573562701
"9",1976,103.605428705415
"10",1977,111.282803312451
"11",1978,83.6589594729738
"12",1979,46.9953533219701
"13",1980,162.272342629443
"14",1981,145.448948630109
"15",1982,208.504673100587
"16",1983,81.3551011139045
"17",1984,84.015484471179
"18",1985,411.218930756633
"19",1986,119.528665216434
"20",1987,388.192714950996
"21",1988,331.141507087404
"22",1989,234.457132972818
"23",1990,281.449583156697
"24",1991,283.769968003213
"25",1992,207.977669827935
"26",1993,96.7530801971637
"27",1994,52.1583497370462
"28",1995,64.7198065833426
"29",1996,126.119518891279
"30",1997,152.258252592982
"31",1998,58.5089800072276
"32",1999,180.406605041097
"33",2000,43.8187649765698
"34",2001,29.949344912298
"35",2002,158.1315122191
"36",2003,74.5585772365218
"37",2004,29.8968164354541
"38",2005,19.9957597484154
"39",2006,78.3661552246409
"40",2007,73.9536561271011
"41",2008,149.136655805611
"42",2009,238.467416841542
"43",2010,138.098105480103
"44",2011,182.165256850579
"45",2012,319.188576088892
"46",2013,209.209697202364
"47",2014,152.612695914752
"48",2015,95.9812559742925
"49",2016,89.5318968275645
"50",2017,90.0341746807301
"51",2018,204.602871791916
"52",2019,150.427749969432
"53",2020,115.920658796032
"54",2021,308.019234975768
"55",2022,63.6371673797705
