"","YEAR","strat.biomass"
"1",1968,30.8390944375892
"2",1969,29.475961511592
"3",1970,23.0535792580092
"4",1971,20.0098235338529
"5",1972,13.7972688381843
"6",1973,109.069370492209
"7",1974,26.4015941643513
"8",1975,10.704734033578
"9",1976,18.2259757465961
"10",1977,8.24808819412207
"11",1978,20.8930432932862
"12",1979,12.9090291837255
"13",1980,13.0131508469909
"14",1981,28.3136149836823
"15",1982,13.4727337784527
"16",1983,26.8634904772148
"17",1984,13.4973445679121
"18",1985,12.8853818802313
"19",1986,34.3489857957418
"20",1987,25.267502961887
"21",1988,23.9812867178766
"22",1989,9.09340970983815
"23",1990,11.9153387568854
"24",1991,24.0605321095974
"25",1992,18.5202065768112
"26",1993,26.6231662743047
"27",1994,25.5829746276237
"28",1995,28.1009335448871
"29",1996,54.0784932558103
"30",1997,32.7695888598707
"31",1998,28.7438919084892
"32",1999,66.3743077834285
"33",2000,16.1382766771463
"34",2001,34.6365433257348
"35",2002,40.2871520839278
"36",2003,20.1245536343254
"37",2004,15.0779198484676
"38",2005,19.5588191067027
"39",2006,49.4238866098318
"40",2007,16.6671383466809
"41",2008,58.45066849786
"42",2009,53.3639584902249
"43",2010,10.5893264893343
"44",2011,24.7018726803348
"45",2012,18.8340747940817
"46",2013,7.80331332111343
"47",2014,17.49240952424
"48",2015,7.33530249832129
"49",2016,22.1992202522223
"50",2017,12.2731976553506
"51",2018,21.5724079871558
"52",2019,17.4916973111804
"53",2020,5.7687052337999
"54",2021,44.6344164637265
"55",2022,33.77784720234
