"","YEAR","strat.biomass"
"1",1963,4.13503822918715
"2",1964,13.2817695999131
"3",1965,5.44878190607655
"4",1966,6.35913017766072
"5",1967,6.78130814436308
"6",1968,22.3722188885022
"7",1969,30.5535839858492
"8",1970,7.34087998493808
"9",1971,15.4874723115723
"10",1972,14.4778010772163
"11",1973,44.5432031462773
"12",1974,22.8618130297853
"13",1975,24.8964866233174
"14",1976,28.7480728227828
"15",1977,21.3563042951574
"16",1978,19.8540751843265
"17",1979,29.544329443096
"18",1980,36.684452598826
"19",1981,44.1875736463013
"20",1982,39.345412524669
"21",1983,49.9100076088568
"22",1984,71.678727036276
"23",1985,72.0876599512356
"24",1986,35.3278680573532
"25",1987,15.05137031265
"26",1988,44.1216565111516
"27",1989,48.2599041893928
"28",1990,36.1024794385546
"29",1991,19.3254513901666
"30",1992,16.0128589223249
"31",1993,40.9004339393368
"32",1994,59.8914458648648
"33",1995,20.3566509285744
"34",1996,22.3413240125227
"35",1997,26.4769531663318
"36",1998,10.370050084278
"37",1999,36.3089991613222
"38",2000,36.6360173944601
"39",2001,28.4034864723641
"40",2002,25.3968612225034
"41",2003,20.198570868775
"42",2004,19.9494023670076
"43",2005,14.834364240974
"44",2006,46.3700273629631
"45",2007,18.1126943305976
"46",2008,23.2384414562312
"47",2009,39.7611950346817
"48",2010,50.6738618441187
"49",2011,28.3851527823936
"50",2012,44.0333961812728
"51",2013,42.4312789888694
"52",2014,54.4622809919586
"53",2015,52.6551783119667
"54",2016,42.8377146612586
"55",2018,52.9410819900769
"56",2019,35.4467179823088
"57",2021,63.2425426779984
"58",2022,90.5166286419827
