"","YEAR","strat.biomass"
"1",1968,236.973393618481
"2",1969,157.889303291552
"3",1970,115.477504506855
"4",1971,178.430594539031
"5",1972,257.202867961447
"6",1973,240.906935246055
"7",1974,244.929036986972
"8",1975,142.545124562115
"9",1976,133.341812170778
"10",1977,130.93210115313
"11",1978,121.550428702705
"12",1979,66.3818680808435
"13",1980,198.559217011812
"14",1981,207.321965715357
"15",1982,241.930550361659
"16",1983,123.249212977274
"17",1984,111.782747179771
"18",1985,442.341830899406
"19",1986,168.249116971815
"20",1987,423.1608456392
"21",1988,365.836667646561
"22",1989,254.420259341427
"23",1990,306.42546022943
"24",1991,316.826847870911
"25",1992,232.049589149624
"26",1993,129.251351609125
"27",1994,83.1212813164387
"28",1995,102.805380784056
"29",1996,188.592944444661
"30",1997,196.023956375766
"31",1998,96.6638177290459
"32",1999,261.460401474351
"33",2000,70.9206500503274
"34",2001,78.6116360201027
"35",2002,234.574714699434
"36",2003,105.709578971055
"37",2004,50.1630931301048
"38",2005,43.1925833479161
"39",2006,139.922861137801
"40",2007,94.6232130720634
"41",2008,217.364164402529
"42",2009,302.684720391114
"43",2010,164.968303749765
"44",2011,216.286064666537
"45",2012,358.793966330773
"46",2013,226.205167337348
"47",2014,255.113431799353
"48",2015,112.854228343768
"49",2016,166.95878992117
"50",2017,120.138864626149
"51",2018,236.444399676144
"52",2019,184.181489842604
"53",2020,129.047269737218
"54",2021,366.719372804994
"55",2022,108.114085724422
