"","Year","Variable","Val","Loc","N"
"1",1993,"GLORYS12_count",0,"NYB",NA
"2",1994,"GLORYS12_count",0,"NYB",NA
"3",1995,"GLORYS12_count",0,"NYB",NA
"4",1996,"GLORYS12_count",0,"NYB",NA
"5",1997,"GLORYS12_count",0,"NYB",NA
"6",1998,"GLORYS12_count",0,"NYB",NA
"7",1999,"GLORYS12_count",0,"NYB",NA
"8",2000,"GLORYS12_count",0,"NYB",NA
"9",2001,"GLORYS12_count",0,"NYB",NA
"10",2002,"GLORYS12_count",0,"NYB",NA
"11",2003,"GLORYS12_count",0,"NYB",NA
"12",2004,"GLORYS12_count",0,"NYB",NA
"13",2005,"GLORYS12_count",0,"NYB",NA
"14",2006,"GLORYS12_count",0,"NYB",NA
"15",2007,"GLORYS12_count",0,"NYB",NA
"16",2008,"GLORYS12_count",0,"NYB",NA
"17",2009,"GLORYS12_count",0,"NYB",NA
"18",2010,"GLORYS12_count",0,"NYB",NA
"19",2011,"GLORYS12_count",0,"NYB",NA
"20",2012,"GLORYS12_count",0,"NYB",NA
"21",2013,"GLORYS12_count",0,"NYB",NA
"22",2014,"GLORYS12_count",0,"NYB",NA
"23",2015,"GLORYS12_count",0,"NYB",NA
"24",2016,"GLORYS12_count",0,"NYB",NA
"25",2017,"GLORYS12_count",0,"NYB",NA
"26",2018,"GLORYS12_count",0,"NYB",NA
"27",2019,"GLORYS12_count",0,"NYB",NA
"28",2020,"GLORYS12_count",0,"NYB",NA
"29",2021,"GLORYS12_count",0,"NYB",NA
"30",2022,"GLORYS12_count",0,"NYB",NA
"31",2023,"GLORYS12_count",0,"NYB",NA
"32",2024,"GLORYS12_count",0,"NYB",NA
"33",1993,"GLORYS12_duration",0,"NYB",NA
"34",1994,"GLORYS12_duration",0,"NYB",NA
"35",1995,"GLORYS12_duration",0,"NYB",NA
"36",1996,"GLORYS12_duration",0,"NYB",NA
"37",1997,"GLORYS12_duration",0,"NYB",NA
"38",1998,"GLORYS12_duration",0,"NYB",NA
"39",1999,"GLORYS12_duration",0,"NYB",NA
"40",2000,"GLORYS12_duration",0,"NYB",NA
"41",2001,"GLORYS12_duration",0,"NYB",NA
"42",2002,"GLORYS12_duration",0,"NYB",NA
"43",2003,"GLORYS12_duration",0,"NYB",NA
"44",2004,"GLORYS12_duration",0,"NYB",NA
"45",2005,"GLORYS12_duration",0,"NYB",NA
"46",2006,"GLORYS12_duration",0,"NYB",NA
"47",2007,"GLORYS12_duration",0,"NYB",NA
"48",2008,"GLORYS12_duration",0,"NYB",NA
"49",2009,"GLORYS12_duration",0,"NYB",NA
"50",2010,"GLORYS12_duration",0,"NYB",NA
"51",2011,"GLORYS12_duration",0,"NYB",NA
"52",2012,"GLORYS12_duration",0,"NYB",NA
"53",2013,"GLORYS12_duration",0,"NYB",NA
"54",2014,"GLORYS12_duration",0,"NYB",NA
"55",2015,"GLORYS12_duration",0,"NYB",NA
"56",2016,"GLORYS12_duration",0,"NYB",NA
"57",2017,"GLORYS12_duration",0,"NYB",NA
"58",2018,"GLORYS12_duration",0,"NYB",NA
"59",2019,"GLORYS12_duration",0,"NYB",NA
"60",2020,"GLORYS12_duration",0,"NYB",NA
"61",2021,"GLORYS12_duration",0,"NYB",NA
