,April,May,June,July,August,September
1993,6148234512974.049,2988421962709.566,1645501248486.6274,1055540868910.2424,805122207122.8662,444805611954.0686
1994,6190003020856.13,2959650298985.8154,1513221140146.039,1170224036116.7925,812470272171.736,262547062732.5462
1995,5925420216978.673,3399624287755.1396,1564126811888.7747,850803005553.7388,411366767704.1564,151851875317.59137
1996,6557678981902.617,4449164053561.201,1998566168145.3413,1309428017471.8022,1180906865279.4067,997795584490.5652
1997,7868095316683.478,4613456998188.907,1313037548744.3162,920421304596.7593,690276974444.564,420285828212.1846
1998,8105859125779.922,5160810012498.751,1904470775428.8044,1383527922406.3416,1032877257219.584,699304708340.8635
1999,6164473288569.708,2077584805052.0303,893929027709.2368,294904983685.5049,262767590169.4241,6481063900.369631
2000,4991196717610.666,1783857906887.2505,779810139021.3142,519350463264.25726,431973938648.8126,112950110445.45572
2001,6451844299070.898,2545109169159.0605,1186580083233.999,612277671854.6267,237884975022.2263,66234455220.10005
2002,6570632097735.173,1702952583760.1123,909259790262.0205,745393354642.7697,732158853438.177,341179890752.9646
2003,7954912816206.618,4429028089055.734,1510693713966.1106,940904071010.6462,664285263562.404,220660311422.22632
2004,5885618851152.838,2873963270872.641,1991317548067.5015,1615117426103.0173,1242795463752.704,763483601121.6837
2005,6934769368081.795,5672670506558.875,1938843312126.2546,951695418184.4513,509024277793.70264,412264343089.1658
2006,5284409553838.141,2697203199319.2812,1088615192874.8014,458586230497.3607,301542384684.9612,7260302431.331269
2007,6579364085841.813,5759557456193.614,1958291790468.8767,1222875811578.04,936775823445.1758,624681673456.6038
2008,5902205379957.283,3496179181816.878,1290873536117.408,1019173723561.011,739231549422.3921,582128367374.4067
2009,5652628878572.784,2523117192472.5107,1131608750045.587,765294767879.5884,402728198755.32715,151232053016.46274
2010,6480423865892.209,2185301939643.2659,1227237379244.0962,877226087332.6362,584235395521.615,297162143839.20953
2011,7233522213666.453,2524148001030.665,1189293078641.4333,713772537437.6909,706852195775.8728,205213083900.35458
2012,4237022529098.747,790267650376.7036,495444500516.282,183202940087.8252,98843741990.98186,40461174348.22278
2013,5457696458564.248,1823473185296.714,923083782956.6528,550520673073.4142,200578887420.40704,5863252321.438398
2014,6008642772501.744,2742145583215.835,1100257453857.1035,299189947841.7273,0.0,0.0
2015,3788703969151.052,1696844047975.9673,566947743750.0009,201634311324.7916,18775846167.461143,0.0
2016,5468196673749.517,2499450336550.055,1134254409158.6245,621212699288.2087,254418267034.11295,53732591099.852234
2017,6935969977776.878,2506701971551.7124,1622339794296.4941,1015911980316.709,637647493995.8276,255084480001.0426
2018,5824806471480.125,2959404855597.9277,1280494316789.2876,904618772279.6704,573992280224.3279,194346411377.6843
2019,6362080867684.105,2428700891028.758,1659119882792.2004,1160320964658.2441,359504213343.1663,0.0
2020,5633327484075.75,2864170994077.8174,966710454844.2793,308481934719.0665,0.0,0.0
2021,4581073980139.355,1431544394722.8481,655323223999.9363,274737568510.53848,118277202668.98477,0.0
2022,5565926508799.225,1931059204200.4878,844514033347.5598,160092558973.21362,0.0,0.0
2023,5268341882438.662,1648630061833.5059,932834633291.023,600424733298.6681,435291334871.2362,72885948089.96547
2024,7897380639164.018,3542977232413.264,1250181472370.3022,1092146697961.5016,672953940293.919,147680058008.33032
