,April,May,June,July,August,September
1993,7188520826643.801,3730656090179.7686,2393465963447.761,1786607932386.9902,1489731036595.831,1189044643892.432
1994,7068764576476.189,3720430227492.2705,2243048614080.494,1967784895790.33,1573563751965.8313,952371938580.7021
1995,6783837993675.034,4066843793864.0537,2278410296101.9126,1557181004260.338,1080198819106.1979,832538753020.1323
1996,7582771120061.768,5347258291949.668,2832267107203.509,2062241158700.0688,2167930327384.4985,1831358081598.7385
1997,8595801372121.359,5486076192452.203,2059652503880.012,1757566430500.7368,1466137771844.4673,1137565964039.9504
1998,9384739722546.758,6083501681481.436,2743005843333.8584,2128386258323.4229,1795986446676.2256,1490288063870.7798
1999,6951279793590.495,2817761573586.8203,1595500083443.8591,889364405116.9286,938787177740.2007,653709510572.981
2000,6110746108371.962,2501492887791.169,1496457032964.2922,1498331117236.6753,1545616304135.8403,935424787595.945
2001,7408539057617.357,3275432219290.456,1899363509791.275,1284503036470.3398,909974369575.5952,723171169707.4564
2002,7310218931288.836,2405239175787.857,1601429187140.6372,1447481638509.3032,1431108774513.6335,998365345575.8652
2003,8933082633241.006,5374195075636.589,2355198574343.328,1670144311952.0737,1427587347691.788,883427813999.3462
2004,7695031592491.291,3986941497094.1616,2950695030748.9004,2588166259242.0996,2018773249519.197,1523407027318.242
2005,8430988257139.584,6819292327697.461,2670129320058.962,1604283775661.4927,1083945366579.5167,1048190194725.7761
2006,5991182624833.077,3233080070525.3066,1730065651127.5981,1113300652918.0977,1132497869901.1348,685991389525.409
2007,7405447079516.703,7097433281021.09,2955105574757.8364,2027816105106.6099,1720167299801.1487,1390683381136.9016
2008,6584284462486.2705,4192903837105.8022,2080852590643.484,1634023469832.941,1495587999149.023,1458956618659.4604
2009,6486192753260.545,3410059556222.818,2027423205431.8767,1553294879367.2937,1153616085110.7014,1173710122076.1304
2010,7731739494254.715,3067619780374.338,2021312551691.9697,1811872423033.1484,1454895786835.0188,1059467194579.7383
2011,8250010003765.8125,3126222021227.2725,2019339036155.0107,1563068953736.5752,1430358627780.218,799178172375.3674
2012,4851968168254.996,1417265320218.0957,1089409588991.2948,795683205743.6971,707148614284.4937,682133956046.206
2013,6692412782152.039,2744291890568.8403,1751639456384.9482,1276727623832.3862,986889345753.0015,754108736444.4758
2014,7717396130455.195,3356914745734.3926,1654538042368.9146,931122104414.6855,609089200262.666,626156846241.5669
2015,5690142316997.308,2713138053285.134,1526094104092.77,929468344222.1648,633912605324.488,513786292359.96356
2016,6322341622226.076,3171525911123.665,1858405343695.332,1341845115234.526,939597208430.8751,602519656887.4363
2017,7804691782337.609,3275763617252.621,2274449706736.1694,1806665136323.6729,1328275271840.2222,944798763808.3491
2018,6923632484164.877,3769625189143.8506,2040585537250.624,1656388703344.893,1274257598088.3853,785625585778.2161
2019,7103765302121.914,3043674579339.574,2300965978176.9624,1784344015658.4497,909459372428.4844,569669918957.0656
2020,6260196980009.311,3685546201150.1904,1962280634290.354,965242257896.7507,608298524450.9443,597966336683.052
2021,5290089267601.551,2133089671796.9048,1342370510459.6309,889474004196.8887,712896756883.4622,620984943209.1116
2022,6235144984404.678,2530856451314.258,1440436849196.1262,791687297156.0872,681991059421.1869,672856236605.0684
2023,5814694105093.209,2341681227448.5176,1546932522050.9055,1173131528215.2207,1092229969189.16,746173109884.4148
2024,8698350276706.8125,4233500751640.042,1871598934183.3264,1850416239547.5996,1341530418362.2275,959729319362.5266
