YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
93 01 01 00 220 06.1 07.0 01.30 06.70 05.40 167 1010.7  10.2  07.1 999.0 16.7
93 01 01 01 221 06.7 07.7 01.30 07.10 05.40 150 1010.8  10.5  07.1 999.0 15.0
93 01 01 02 224 07.9 09.4 01.40 07.70 05.40 137 1010.6  11.3  07.1 999.0 13.7
93 01 01 03 222 06.5 07.5 01.40 07.10 05.20 143 1010.2  11.4  07.1 999.0 14.3
93 01 01 04 224 06.3 07.1 01.40 06.70 05.30 160 1010.3  10.6  07.1 999.0 16.0
93 01 01 06 259 05.2 05.8 01.30 07.70 05.70 145 1009.8  10.0  07.1 999.0 14.5
93 01 01 07 295 05.5 06.3 01.30 07.70 05.50 191 1010.7  09.8  07.1 999.0 19.1
93 01 01 08 314 05.5 06.9 01.30 09.10 05.60 166 1011.5  09.2  07.1 999.0 16.6
93 01 01 09 306 09.4 11.3 01.20 08.30 05.30 189 1012.0  08.6  07.1 999.0 18.9
93 01 01 10 308 11.6 14.3 01.50 07.10 04.70 195 1012.6  07.9  07.0 999.0 19.5
93 01 01 11 302 12.3 14.6 01.70 04.50 04.60 327 1014.2  07.5  07.0 999.0 32.7
93 01 01 12 308 09.7 12.3 01.90 05.30 04.80 324 1015.6  07.4  06.7 999.0 32.4
93 01 01 13 308 12.0 15.5 01.60 05.30 04.70 323 1016.3  07.1  06.7 999.0 32.3
93 01 01 14 298 12.9 16.4 01.80 05.60 04.70 305 1017.6  06.7  06.6 999.0 30.5
93 01 01 15 298 13.3 16.8 01.90 05.90 04.90 305 1019.2  06.4  06.6 999.0 30.5
93 01 01 16 294 14.1 16.7 01.90 05.90 04.90 300 1019.6  06.0  06.7 999.0 30.0
93 01 01 17 300 12.6 15.2 02.10 05.90 05.10 314 1020.3  05.2  06.7 999.0 31.4
93 01 01 18 297 11.4 13.9 02.00 06.20 05.10 307 1020.4  04.7  06.7 999.0 30.7
93 01 01 19 301 11.5 14.4 01.90 06.20 04.90 299 1020.6  04.4  06.7 999.0 29.9
93 01 01 20 308 12.2 15.2 01.90 06.20 04.90 303 1021.7  04.0  06.7 999.0 30.3
93 01 01 21 303 11.9 14.6 02.00 05.90 04.90 306 1022.9  03.5  06.7 999.0 30.6
93 01 01 22 308 13.0 16.3 01.90 05.90 04.90 312 1023.9  02.8  06.7 999.0 31.2
93 01 01 23 316 13.6 18.0 99.00 99.00 99.00 999 1024.9  02.1  06.7 999.0 99.0
93 01 02 00 320 12.9 18.5 01.90 05.60 04.70 327 1026.0  01.0  06.7 999.0 32.7
93 01 02 01 314 13.2 16.6 02.00 05.60 04.80 328 1026.7  00.1  06.7 999.0 32.8
93 01 02 02 298 13.1 15.7 02.10 05.90 04.90 321 1027.3 -00.7  06.7 999.0 32.1
93 01 02 03 311 11.0 14.2 02.10 06.20 05.00 311 1028.3 -00.8  06.7 999.0 31.1
93 01 02 04 320 13.0 16.7 02.10 06.20 05.10 325 1028.9 -01.1  06.7 999.0 32.5
93 01 02 05 313 10.7 14.1 02.00 06.20 05.00 323 1029.8 -01.4  06.7 999.0 32.3
93 01 02 06 318 11.5 15.1 01.80 06.20 04.80 319 1029.2 -01.1  06.7 999.0 31.9
93 01 02 07 302 10.0 13.2 01.60 05.60 04.50 326 1029.7 -00.5  06.7 999.0 32.6
93 01 02 08 303 10.6 13.6 01.40 05.60 04.30 307 1030.1 -00.6  06.7 999.0 30.7
93 01 02 09 292 12.2 15.2 01.40 05.30 04.20 300 1030.1 -00.3  06.7 999.0 30.0
93 01 02 10 301 11.6 14.7 01.40 05.30 04.20 310 1030.5 -00.3  06.7 999.0 31.0
93 01 02 11 302 10.6 13.7 01.50 05.60 04.50 313 1031.4 -00.2  06.7 999.0 31.3
93 01 02 12 297 09.9 12.7 01.40 05.60 04.30 298 1031.9  00.0  06.6 999.0 29.8
93 01 02 13 299 10.3 13.3 01.40 05.60 04.40 306 1032.4  00.1  06.6 999.0 30.6
93 01 02 14 297 09.9 12.1 01.30 05.00 04.20 298 1033.2  00.4  06.6 999.0 29.8
93 01 02 15 300 08.9 11.3 01.30 05.00 04.20 315 1034.5  00.4  06.6 999.0 31.5
93 01 02 16 295 08.9 11.8 01.20 05.00 04.10 299 1034.2  00.5  06.6 999.0 29.9
93 01 02 17 320 07.2 10.4 01.10 04.80 04.10 323 1032.6  00.5  06.6 999.0 32.3
93 01 02 18 327 06.5 08.2 00.90 05.00 04.00 323 1033.0  01.0  06.7 999.0 32.3
93 01 02 19 310 07.3 09.1 00.80 04.80 03.80 314 1032.9  01.6  06.7 999.0 31.4
93 01 02 20 304 05.1 07.4 00.70 04.20 03.50 313 1033.6  01.6  06.7 999.0 31.3
93 01 02 21 314 04.5 06.5 00.60 04.20 03.40 312 1034.3  01.6  06.6 999.0 31.2
93 01 02 22 301 06.0 07.3 00.50 03.80 03.30 311 1034.7  02.1  06.6 999.0 31.1
93 01 02 23 311 05.8 06.9 00.50 03.60 03.20 312 1035.5  02.5  06.6 999.0 31.2
93 01 03 00 325 06.1 08.1 00.50 03.70 03.20 309 1036.0  02.5  06.6 999.0 30.9
93 01 03 01 335 06.1 08.2 00.50 03.70 03.20 322 1036.1  02.4  06.6 999.0 32.2
93 01 03 02 335 05.0 06.1 00.40 03.70 03.20 310 1036.7  02.3  06.6 999.0 31.0
93 01 03 03 345 06.0 07.7 00.50 03.60 03.20 316 1036.7  02.0  06.5 999.0 31.6
93 01 03 04 026 05.3 06.7 00.50 03.40 03.20 306 1036.7  01.7  06.6 999.0 30.6
93 01 03 05 025 05.0 06.6 00.40 03.40 03.10 312 1037.1  01.3  06.6 999.0 31.2
93 01 03 06 038 05.7 07.6 00.50 03.20 03.10 320 1036.8  01.2  06.6 999.0 32.0
93 01 03 07 039 04.6 06.0 00.50 03.60 03.30 358 1037.6  01.2  06.6 999.0 35.8
93 01 03 08 051 04.1 05.4 00.60 03.80 03.50 031 1037.7  01.3  06.6 999.0 03.1
93 01 03 09 070 04.0 05.9 00.50 04.00 03.50 021 1037.5  01.6  06.6 999.0 02.1
93 01 03 10 072 03.4 04.8 00.40 04.20 03.50 058 1037.7  02.0  06.4 999.0 05.8
93 01 03 11 105 04.0 05.7 00.30 03.40 03.30 066 1037.7  02.5  06.4 999.0 06.6
93 01 03 12 114 05.1 06.4 00.30 03.40 03.20 080 1037.8  03.1  06.4 999.0 08.0
93 01 03 13 129 05.2 07.3 00.30 04.00 03.10 057 1037.9  03.5  06.6 999.0 05.7
93 01 03 14 149 05.1 06.6 00.40 02.70 03.00 085 1039.1  03.9  06.6 999.0 08.5
93 01 03 15 163 05.9 07.1 00.40 02.90 03.00 128 1039.2  04.4  06.6 999.0 12.8
93 01 03 16 167 05.6 07.6 00.40 03.10 03.00 124 1038.4  05.1  06.6 999.0 12.4
93 01 03 17 173 05.9 07.4 00.50 03.00 03.10 172 1037.5  05.5  06.6 999.0 17.2
93 01 03 18 170 05.5 07.2 00.50 03.00 03.10 159 1036.1  05.8  06.6 999.0 15.9
93 01 03 19 174 06.2 07.4 00.50 03.00 03.20 168 1035.4  06.2  06.6 999.0 16.8
93 01 03 20 183 06.4 07.7 00.60 03.30 03.20 172 1035.0  06.4  06.7 999.0 17.2
93 01 03 21 175 07.1 08.7 00.70 03.60 03.40 177 1034.5  06.7  06.6 999.0 17.7
93 01 03 22 177 07.1 08.8 00.80 03.40 03.50 196 1034.1  07.1  06.6 999.0 19.6
93 01 03 23 169 06.7 08.1 00.80 03.80 03.70 197 1033.6  07.5  06.6 999.0 19.7
93 01 04 00 170 06.8 08.2 00.70 03.80 03.60 196 1033.2  08.0  06.6 999.0 19.6
93 01 04 01 172 05.8 06.8 00.80 04.20 03.80 195 1032.9  08.2  06.6 999.0 19.5
93 01 04 02 176 05.0 06.1 00.80 04.30 03.90 183 1032.5  08.3  06.6 999.0 18.3
93 01 04 03 178 04.1 04.8 00.80 04.30 03.90 160 1031.9  08.3  06.6 999.0 16.0
93 01 04 04 184 03.4 03.8 00.80 04.30 03.90 157 1031.2  08.3  06.6 999.0 15.7
93 01 04 05 206 03.5 04.2 00.70 04.30 03.90 140 1030.4  08.3  06.6 999.0 14.0
93 01 04 06 227 03.5 04.1 00.70 04.20 03.90 141 1029.9  08.2  06.6 999.0 14.1
93 01 04 07 214 04.7 05.6 00.60 04.30 03.80 131 1029.4  08.2  06.6 999.0 13.1
93 01 04 08 207 05.4 06.2 00.70 04.50 03.90 128 1028.7  08.2  06.6 999.0 12.8
93 01 04 09 213 04.8 05.5 00.70 04.80 03.90 143 1028.3  08.2  06.6 999.0 14.3
93 01 04 10 216 05.7 06.9 00.70 04.80 04.00 127 1028.2  08.2  06.6 999.0 12.7
93 01 04 11 214 07.3 09.2 00.90 04.80 04.10 145 1027.9  08.6  06.6 999.0 14.5
93 01 04 12 214 07.2 09.0 00.90 05.00 04.00 135 1028.1  08.7  06.6 999.0 13.5
93 01 04 13 214 07.2 09.6 01.00 04.80 04.10 183 1027.8  08.6  06.6 999.0 18.3
93 01 04 14 215 07.8 09.9 01.30 04.80 04.40 188 1028.1  08.7  06.6 999.0 18.8
93 01 04 15 210 08.9 10.2 01.40 05.00 04.30 183 1027.8  09.1  06.6 999.0 18.3
93 01 04 16 201 08.4 10.3 01.40 05.00 04.40 192 1026.9  09.4  06.6 999.0 19.2
93 01 04 17 199 09.4 11.4 01.30 05.00 04.20 189 1025.4  09.5  06.6 999.0 18.9
93 01 04 18 205 08.5 10.1 01.30 05.00 04.20 192 1024.6  09.8  06.7 999.0 19.2
93 01 04 19 199 08.6 10.4 01.20 04.80 04.20 201 1024.1  10.0  06.7 999.0 20.1
93 01 04 20 199 07.6 08.7 01.20 04.50 04.10 198 1023.8  09.8  06.7 999.0 19.8
93 01 04 21 195 09.8 11.4 01.30 04.80 04.30 209 1023.0  10.5  06.7 999.0 20.9
93 01 04 22 196 09.7 11.4 01.50 05.00 04.40 205 1022.6  10.5  06.7 999.0 20.5
93 01 04 23 191 10.4 12.1 01.60 05.30 04.50 207 1022.2  10.5  06.7 999.0 20.7
93 01 05 00 191 11.4 13.2 01.70 05.60 04.70 207 1021.6  11.0  06.7 999.0 20.7
93 01 05 01 191 10.9 13.1 01.70 05.60 04.60 200 1021.0  11.0  06.7 999.0 20.0
93 01 05 02 190 09.7 12.0 01.80 05.60 04.80 207 1020.6  11.0  06.7 999.0 20.7
93 01 05 03 185 09.5 11.2 01.80 05.90 04.80 197 1019.8  10.6  06.7 999.0 19.7
93 01 05 04 190 09.7 11.2 01.60 05.90 04.60 181 1019.0  11.2  06.7 999.0 18.1
93 01 05 05 186 09.8 11.8 01.70 05.90 04.60 180 1017.8  10.9  06.7 999.0 18.0
93 01 05 06 188 10.9 13.0 01.90 05.90 04.80 194 1016.7  11.3  06.7 999.0 19.4
93 01 05 07 182 09.3 11.0 01.70 05.90 04.70 198 1016.1  11.0  06.7 999.0 19.8
93 01 05 08 180 09.7 11.7 01.60 05.60 04.70 208 1014.5  11.0  06.7 999.0 20.8
93 01 05 09 184 10.8 13.0 01.80 05.60 04.60 201 1013.0  11.3  06.7 999.0 20.1
93 01 05 10 185 11.2 13.8 02.00 06.20 05.00 185 1012.1  11.7  06.7 999.0 18.5
93 01 05 11 180 11.3 13.1 02.10 06.20 05.00 187 1011.0  11.7  06.7 999.0 18.7
93 01 05 12 186 12.4 16.4 02.10 06.20 05.10 195 1009.8  11.8  07.0 999.0 19.5
93 01 05 13 190 14.6 17.6 02.50 06.70 05.30 197 1009.3  12.1  07.1 999.0 19.7
93 01 05 14 180 13.0 16.9 02.70 07.10 05.70 193 1008.1  11.9  07.1 999.0 19.3
93 01 05 15 201 12.9 15.6 03.00 07.10 05.60 186 1009.1  11.3  07.2 999.0 18.6
93 01 05 16 206 09.0 10.7 02.80 07.10 05.70 186 1009.1  10.7  07.2 999.0 18.6
93 01 05 17 211 09.5 11.4 02.50 07.70 05.80 165 1009.6  10.5  07.4 999.0 16.5
93 01 05 18 222 08.2 09.7 02.50 08.30 05.80 147 1009.7  10.2  07.4 999.0 14.7
93 01 05 19 232 07.5 08.9 02.50 08.30 05.90 133 1010.0  10.5  07.4 999.0 13.3
93 01 05 20 230 06.7 07.8 02.20 08.30 06.00 151 1010.7  11.0  07.4 999.0 15.1
93 01 05 21 252 05.3 06.3 02.30 09.10 06.10 172 1012.5  10.7  07.4 999.0 17.2
93 01 05 22 291 05.6 06.7 02.20 09.10 06.40 183 1014.3  11.0  07.4 999.0 18.3
93 01 05 23 311 08.0 10.6 02.40 10.00 07.00 169 1015.8  11.0  07.4 999.0 16.9
93 01 06 00 309 06.5 08.5 02.50 10.00 06.40 180 1018.2  09.8  07.4 999.0 18.0
93 01 06 01 314 07.6 10.2 02.60 10.00 06.80 182 1019.1  09.5  07.4 999.0 18.2
93 01 06 02 329 10.2 13.0 02.40 10.00 06.70 191 1019.9  08.7  07.4 999.0 19.1
93 01 06 03 314 08.5 10.5 02.20 10.00 06.30 197 1021.2  07.5  07.4 999.0 19.7
93 01 06 04 321 07.8 09.8 02.20 10.00 06.40 201 1022.1  07.1  07.4 999.0 20.1
93 01 06 05 320 06.8 08.6 02.10 10.00 06.20 197 1022.7  06.7  07.4 999.0 19.7
93 01 06 06 333 08.1 10.4 02.00 10.00 06.50 200 1022.9  06.4  07.4 999.0 20.0
93 01 06 07 345 08.2 09.9 01.90 10.00 06.80 189 1022.9  06.0  07.4 999.0 18.9
93 01 06 08 356 06.4 08.0 01.90 10.00 07.00 187 1023.9  05.9  07.4 999.0 18.7
