YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 27 00 235  5.7  6.6   .47  9.09  3.89 131 9999.0   4.3   7.0   -.8 99.0
1999 01 27 01 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 27 02 249  5.7 99.0   .58  3.45  3.87 261 9999.0   5.2 999.0   -.8 99.0
1999 01 27 03 253  6.2  7.1   .59  3.45  3.72 253 9999.0   5.5   7.0   -.6 99.0
1999 01 27 04 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 27 05 254  7.8  9.0 99.00 99.00 99.00 999 9999.0 999.0   7.0 999.0 99.0
1999 01 27 06 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 27 07 999 99.0 99.0   .81  4.35  3.95 214 9999.0   4.7 999.0    .5 99.0
1999 01 27 08 999 99.0 99.0   .78  4.55  4.00 215 9999.0 999.0   7.0 999.0 99.0
1999 01 27 09 263  4.3  5.8   .71  4.17  4.08 217 9999.0   4.7   7.0 999.0 99.0
1999 01 27 10 999 99.0 99.0 99.00 99.00 99.00 999 9999.0   4.5   7.0    .4 99.0
1999 01 27 11 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 27 12 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 27 13 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 27 14 282  4.0  5.1   .58  4.76  4.19 199 9999.0   4.4   7.0  -1.3 99.0
1999 01 27 15 298  3.7  4.6   .57  4.76  4.15 202 9999.0   4.3   7.0   -.5 99.0
1999 01 27 16 274  2.4  3.3   .55  4.55  4.12 203 9999.0   4.3   7.0   -.3 99.0
1999 01 27 17 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 27 18 212  1.3  2.0   .49  4.76  4.32 211 9999.0   4.4   7.1  -1.2 99.0
1999 01 27 19 176  2.4  3.3 99.00 99.00 99.00 999 9999.0   5.1   7.1  -1.0 99.0
1999 01 27 20 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 27 21 180   .0   .0 99.00 99.00 99.00 999 9999.0    .0 999.0 999.0 99.0
1999 01 27 22 194  3.2  3.8   .56  4.55  3.94 203 9999.0   6.2   7.0   3.6 99.0
1999 01 27 23 178  3.4  3.9   .54  4.55  3.99 205 9999.0   6.7   7.1   4.5 99.0
1999 01 28 00 142  1.3  1.7   .53  4.35  4.08 210 9999.0   7.1   7.1   5.2 99.0
1999 01 28 01  44   .6   .8   .56 10.00  4.30 138 9999.0   7.1   7.1   5.5 99.0
1999 01 28 02  36  4.0  5.0   .54  5.00  4.60 204 9999.0   6.3   7.1   4.6 99.0
1999 01 28 03 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 28 04  55  3.9  4.3   .54 10.00  4.36 153 9999.0   6.4   7.1   4.8 99.0
1999 01 28 05  44  4.7  5.4   .55  5.26  4.32 202 9999.0   6.4   7.1   4.9 99.0
1999 01 28 06  61  5.8  6.7   .57  5.00  4.21 205 9999.0   6.0   7.0   4.2 99.0
1999 01 28 07  40  7.7  9.0   .74  5.56  4.06 210 9999.0   5.6   7.0   3.8 99.0
1999 01 28 08  60  8.2  9.3   .91  5.88  3.97 214 9999.0   5.2   7.0   3.6 99.0
1999 01 28 09  76  6.8  7.9   .99  4.00  3.99  60 9999.0   5.5   7.0   3.9 99.0
1999 01 28 10  73  6.8  7.9  1.00  4.17  4.22  69 9999.0   5.5   7.0   3.6 99.0
1999 01 28 11  73  5.5  6.7  1.03  4.55  4.24  76 9999.0   5.9   7.0   4.1 99.0
1999 01 28 12  82  5.2  6.1   .95  4.76  4.44  77 9999.0   5.9   7.0   4.2 99.0
1999 01 28 13  85  5.3  6.1  1.03  5.56  4.59 190 9999.0   6.0   7.0   4.3 99.0
1999 01 28 14  96  4.4  5.1   .98  4.76  4.55  82 9999.0   6.3   7.0   4.6 99.0
1999 01 28 15  56  3.1  3.8   .95  5.00  4.51  95 9999.0   6.3   7.0   4.6 99.0
1999 01 28 16  83  2.7  3.4   .92  5.26  4.49 117 1015.0   6.4   7.1   4.6 99.0
1999 01 28 17  38  6.6  7.7   .91  5.26  4.55 114 1014.4   5.6   7.1   4.0 99.0
1999 01 28 18  51  5.8  6.5   .99  5.00  4.30  86 1014.2   5.2   7.1   3.9 99.0
1999 01 28 19  59  3.9  4.6   .96  5.26  4.34 109 1014.2   5.6   7.1   4.2 99.0
1999 01 28 20  37  5.3  6.3  1.00  5.00  4.40  93 1013.9   5.9   7.1   4.5 99.0
1999 01 28 21  33  6.6  7.8   .91  5.26  4.45  86 1014.1   5.5   7.1   4.3 99.0
1999 01 28 22  58  5.9  6.8   .89  5.00  4.24  78 1014.2   5.3   7.1   4.2 99.0
