#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2009 12 31 23 50   1  4.4  5.4  0.84  4.76  3.84 999 1017.5   8.2  12.7   6.8 99.0 99.00
2010 01 01 00 50  20  5.4  6.9  0.84  5.26  3.96 999 1017.1   8.5  12.7   6.9 99.0 99.00
2010 01 01 01 50   7  4.2  5.9  0.86  3.23  3.70 999 1017.2   8.1  12.7   6.3 99.0 99.00
2010 01 01 02 50  25  6.4  7.4  0.90  3.70  3.86 999 1015.4   8.4  12.7   6.7 99.0 99.00
2010 01 01 03 50 355  5.0  6.1  1.05  5.88  4.16 999 1016.1   8.2  12.7   6.3 99.0 99.00
2010 01 01 04 50   3  4.5  5.5  0.93  5.56  4.13 999 1015.5   7.9  12.6   5.9 99.0 99.00
2010 01 01 05 50   9  4.8  5.8  1.07  8.33  4.55 999 1014.7   7.8  12.5   5.7 99.0 99.00
2010 01 01 06 50   3  3.8  4.7  1.34  7.69  5.60 999 1015.1   7.8  12.5   5.7 99.0 99.00
2010 01 01 07 50   1  3.5  4.4  1.41  8.33  5.94 999 1014.6   7.6  12.4   5.7 99.0 99.00
2010 01 01 08 50 355  3.7  4.7  1.49  8.33  6.29 999 1014.0   7.7  12.4   5.6 99.0 99.00
2010 01 01 09 50 338  3.8  5.0  1.38  8.33  6.05 999 1013.4   7.9  12.4   5.5 99.0 99.00
2010 01 01 10 50 342  4.1  5.3  1.57  7.14  6.37 999 1013.5   7.8  12.3   5.4 99.0 99.00
2010 01 01 11 50 350  3.5  4.6  1.55  8.33  6.33 999 1013.4   7.8  12.3   5.1 99.0 99.00
2010 01 01 12 50 331  4.4  5.7  1.66  7.69  6.43 999 1013.4   7.9  12.3   4.9 99.0 99.00
2010 01 01 13 50 348  4.4  5.5  1.70  9.09  6.61 999 1012.5   7.8  12.3   4.8 99.0 99.00
2010 01 01 14 50 332  4.5  5.9  1.69  8.33  6.45 999 1013.1   7.8  12.3   4.7 99.0 99.00
2010 01 01 15 50 337  4.9  6.0  1.80  8.33  6.55 999 1012.6   7.6  12.3   4.3 99.0 99.00
2010 01 01 16 50 334  6.1  7.5  1.79  9.09  6.56 999 1011.4   7.3  12.3   4.4 99.0 99.00
2010 01 01 17 50 331  6.0  7.2  1.65  8.33  6.20 999 1010.4   7.1  12.3   4.4 99.0 99.00
2010 01 01 18 50 325  4.8  6.9  1.66  8.33  6.36 999 1010.1   7.0  12.2   4.5 99.0 99.00
2010 01 01 19 50 321  5.2  6.4  1.68  8.33  6.48 999 1009.8   7.0  12.2   4.3 99.0 99.00
