"","Year","Variable","Val","Loc","season","Intercept","N"
"1",1942,"BT_insitu",-0.464217079666322,"NYB","winter",7.36607344979342,37
"2",1943,"BT_insitu",-1.95098791497266,"NYB","winter",7.36607344979342,22
"3",1945,"BT_insitu",-1.73260144198246,"NYB","winter",7.36607344979342,41
"4",1948,"BT_insitu",-1.75063133692035,"NYB","winter",7.36607344979342,72
"5",1950,"BT_insitu",2.40464219153442,"NYB","winter",7.36607344979342,91
"6",1954,"BT_insitu",0.427236693172505,"NYB","winter",7.36607344979342,29
"7",1955,"BT_insitu",-0.779512952642671,"NYB","winter",7.36607344979342,77
"8",1956,"BT_insitu",-0.653119694648269,"NYB","winter",7.36607344979342,49
"9",1957,"BT_insitu",1.08550986930946,"NYB","winter",7.36607344979342,64
"10",1958,"BT_insitu",1.11337811385757,"NYB","winter",7.36607344979342,31
"11",1959,"BT_insitu",-0.140573602870673,"NYB","winter",7.36607344979342,154
"12",1960,"BT_insitu",0.861003311385084,"NYB","winter",7.36607344979342,63
"13",1961,"BT_insitu",-0.836007593126345,"NYB","winter",7.36607344979342,117
"14",1962,"BT_insitu",-1.45079815892628,"NYB","winter",7.36607344979342,90
"15",1964,"BT_insitu",-1.55892405367769,"NYB","winter",7.36607344979342,94
"16",1965,"BT_insitu",-2.61776919072421,"NYB","winter",7.36607344979342,45
"17",1966,"BT_insitu",-2.67764326044079,"NYB","winter",7.36607344979342,145
"18",1967,"BT_insitu",0.0042455889632908,"NYB","winter",7.36607344979342,192
"19",1968,"BT_insitu",-1.06565373107795,"NYB","winter",7.36607344979342,122
"20",1969,"BT_insitu",-1.37324198173856,"NYB","winter",7.36607344979342,77
"21",1970,"BT_insitu",-2.43989285190362,"NYB","winter",7.36607344979342,69
"22",1971,"BT_insitu",-0.886410481058271,"NYB","winter",7.36607344979342,252
"23",1972,"BT_insitu",0.170656310435396,"NYB","winter",7.36607344979342,252
"24",1973,"BT_insitu",0.547909631058121,"NYB","winter",7.36607344979342,96
"25",1974,"BT_insitu",2.25551732513027,"NYB","winter",7.36607344979342,138
"26",1975,"BT_insitu",0.947921067775159,"NYB","winter",7.36607344979342,186
"27",1976,"BT_insitu",0.837051581332078,"NYB","winter",7.36607344979342,108
"28",1977,"BT_insitu",-2.04915780152981,"NYB","winter",7.36607344979342,72
"29",1978,"BT_insitu",-1.33258935111725,"NYB","winter",7.36607344979342,271
"30",1979,"BT_insitu",-0.669052965485798,"NYB","winter",7.36607344979342,93
"31",1980,"BT_insitu",0.172574558882777,"NYB","winter",7.36607344979342,85
"32",1981,"BT_insitu",-1.01006605158475,"NYB","winter",7.36607344979342,57
"33",1982,"BT_insitu",-0.884996706258554,"NYB","winter",7.36607344979342,198
"34",1983,"BT_insitu",0.0929091311158715,"NYB","winter",7.36607344979342,191
"35",1984,"BT_insitu",-0.251890301698927,"NYB","winter",7.36607344979342,163
"36",1985,"BT_insitu",-0.56669404948809,"NYB","winter",7.36607344979342,79
"37",1986,"BT_insitu",0.475316619749476,"NYB","winter",7.36607344979342,56
"38",1987,"BT_insitu",-0.0321688858298834,"NYB","winter",7.36607344979342,22
"39",1988,"BT_insitu",-0.327552727100985,"NYB","winter",7.36607344979342,64
"40",1989,"BT_insitu",-0.902376118240638,"NYB","winter",7.36607344979342,43
"41",1990,"BT_insitu",-0.635379504686267,"NYB","winter",7.36607344979342,94
"42",1991,"BT_insitu",0.244864201332647,"NYB","winter",7.36607344979342,170
"43",1992,"BT_insitu",0.0445560240449437,"NYB","winter",7.36607344979342,142
"44",1993,"BT_insitu",-0.810076779246164,"NYB","winter",7.36607344979342,154
"45",1994,"BT_insitu",-0.59133602234591,"NYB","winter",7.36607344979342,149
"46",1995,"BT_insitu",1.68542712757494,"NYB","winter",7.36607344979342,76
"47",1996,"BT_insitu",-0.106259129013172,"NYB","winter",7.36607344979342,77
"48",1997,"BT_insitu",1.02284775735786,"NYB","winter",7.36607344979342,120
"49",1998,"BT_insitu",-0.0787035741054101,"NYB","winter",7.36607344979342,131
"50",1999,"BT_insitu",1.18791731405663,"NYB","winter",7.36607344979342,125
"51",2000,"BT_insitu",1.15587275813482,"NYB","winter",7.36607344979342,87
"52",2001,"BT_insitu",1.23546166191836,"NYB","winter",7.36607344979342,165
"53",2002,"BT_insitu",2.32836818561887,"NYB","winter",7.36607344979342,132
"54",2003,"BT_insitu",0.396353300976541,"NYB","winter",7.36607344979342,105
"55",2004,"BT_insitu",-0.126409186204229,"NYB","winter",7.36607344979342,127
"56",2005,"BT_insitu",-0.236195407716244,"NYB","winter",7.36607344979342,135
"57",2006,"BT_insitu",1.24043981526511,"NYB","winter",7.36607344979342,105
"58",2007,"BT_insitu",0.37839033469091,"NYB","winter",7.36607344979342,170
"59",2008,"BT_insitu",2.02267806799749,"NYB","winter",7.36607344979342,101
"60",2009,"BT_insitu",0.574663615232883,"NYB","winter",7.36607344979342,134
"61",2010,"BT_insitu",-0.0641423090234224,"NYB","winter",7.36607344979342,102
"62",2011,"BT_insitu",-0.300006269384177,"NYB","winter",7.36607344979342,94
"63",2012,"BT_insitu",2.1136202952162,"NYB","winter",7.36607344979342,170
"64",2013,"BT_insitu",0.558608385907998,"NYB","winter",7.36607344979342,100
"65",2014,"BT_insitu",-0.705192680485609,"NYB","winter",7.36607344979342,20
"66",2015,"BT_insitu",-0.246566174671639,"NYB","winter",7.36607344979342,46
"67",2016,"BT_insitu",1.08142197206869,"NYB","winter",7.36607344979342,30
"68",2017,"BT_insitu",0.294435733329925,"NYB","winter",7.36607344979342,82
"69",2018,"BT_insitu",-0.241515805507807,"NYB","winter",7.36607344979342,39
"70",2019,"BT_insitu",0.735250248794418,"NYB","winter",7.36607344979342,74
