"","Year","Variable","Val","Loc","N","season","Intercept"
"1",1975,"Bot_salinity",0.419382458229397,"MAB",72,"winter",33.8712948550318
"2",1984,"Bot_salinity",-0.0960934202224927,"MAB",6,"winter",33.8712948550318
"3",1985,"Bot_salinity",0.238573201139157,"MAB",7,"winter",33.8712948550318
"4",1988,"Bot_salinity",-0.636065336424892,"MAB",52,"winter",33.8712948550318
"5",1989,"Bot_salinity",0.227206880502564,"MAB",92,"winter",33.8712948550318
"6",1990,"Bot_salinity",0.385636162639768,"MAB",76,"winter",33.8712948550318
"7",1991,"Bot_salinity",0.138542733827887,"MAB",188,"winter",33.8712948550318
"8",1992,"Bot_salinity",-0.171007283114943,"MAB",250,"winter",33.8712948550318
"9",1993,"Bot_salinity",-0.543348776327044,"MAB",278,"winter",33.8712948550318
"10",1994,"Bot_salinity",-0.271799598465643,"MAB",241,"winter",33.8712948550318
"11",1995,"Bot_salinity",0.327776425163786,"MAB",132,"winter",33.8712948550318
"12",1996,"Bot_salinity",-0.142059709515236,"MAB",217,"winter",33.8712948550318
"13",1997,"Bot_salinity",-0.774219268605299,"MAB",514,"winter",33.8712948550318
"14",1998,"Bot_salinity",-0.744382919748582,"MAB",238,"winter",33.8712948550318
"15",1999,"Bot_salinity",-0.596370835752682,"MAB",380,"winter",33.8712948550318
"16",2000,"Bot_salinity",0.576032900673995,"MAB",219,"winter",33.8712948550318
"17",2001,"Bot_salinity",-0.0839667812121043,"MAB",290,"winter",33.8712948550318
"18",2002,"Bot_salinity",0.416777845217434,"MAB",279,"winter",33.8712948550318
"19",2003,"Bot_salinity",0.174706879162841,"MAB",187,"winter",33.8712948550318
"20",2004,"Bot_salinity",0.0719674606773517,"MAB",243,"winter",33.8712948550318
"21",2005,"Bot_salinity",-0.573346431845427,"MAB",241,"winter",33.8712948550318
"22",2006,"Bot_salinity",0.013306290626215,"MAB",243,"winter",33.8712948550318
"23",2007,"Bot_salinity",0.229209722185601,"MAB",298,"winter",33.8712948550318
"24",2008,"Bot_salinity",-0.606662443587486,"MAB",168,"winter",33.8712948550318
"25",2009,"Bot_salinity",0.0635435848752035,"MAB",223,"winter",33.8712948550318
"26",2010,"Bot_salinity",-0.0930406034000556,"MAB",206,"winter",33.8712948550318
"27",2011,"Bot_salinity",-0.283413293584908,"MAB",209,"winter",33.8712948550318
"28",2012,"Bot_salinity",0.138104509023697,"MAB",223,"winter",33.8712948550318
"29",2013,"Bot_salinity",0.419776967924153,"MAB",197,"winter",33.8712948550318
"30",2014,"Bot_salinity",0.259928678502912,"MAB",104,"winter",33.8712948550318
"31",2015,"Bot_salinity",0.620409137079072,"MAB",113,"winter",33.8712948550318
"32",2017,"Bot_salinity",0.363848361164293,"MAB",158,"winter",33.8712948550318
"33",2018,"Bot_salinity",0.0412517725438499,"MAB",68,"winter",33.8712948550318
"34",2019,"Bot_salinity",-0.232095133327538,"MAB",144,"winter",33.8712948550318
"35",2020,"Bot_salinity",0.0953687034764266,"MAB",103,"winter",33.8712948550318
"36",2021,"Bot_salinity",0.200864827664477,"MAB",113,"winter",33.8712948550318
