"","Year","Variable","Val","Loc","season","Intercept","N"
"1",1975,"Strat_summer_insitu",0.160894688862443,"MAB","Winter",-7.9446530079282,72
"2",1976,"Strat_summer_insitu",0.810070181059147,"MAB","Winter",-7.9446530079282,1
"3",1979,"Strat_summer_insitu",-0.0447476394955439,"MAB","Winter",-7.9446530079282,1
"4",1984,"Strat_summer_insitu",-0.351269025611981,"MAB","Winter",-7.9446530079282,6
"5",1985,"Strat_summer_insitu",-0.323249771888299,"MAB","Winter",-7.9446530079282,7
"6",1988,"Strat_summer_insitu",0.119985486449179,"MAB","Winter",-7.9446530079282,51
"7",1989,"Strat_summer_insitu",-0.286113878621141,"MAB","Winter",-7.9446530079282,92
"8",1990,"Strat_summer_insitu",0.095307136615329,"MAB","Winter",-7.9446530079282,76
"9",1991,"Strat_summer_insitu",-0.0141682024783646,"MAB","Winter",-7.9446530079282,185
"10",1992,"Strat_summer_insitu",-0.0811827852680834,"MAB","Winter",-7.9446530079282,238
"11",1993,"Strat_summer_insitu",0.0299279989139309,"MAB","Winter",-7.9446530079282,271
"12",1994,"Strat_summer_insitu",0.140317333033382,"MAB","Winter",-7.9446530079282,240
"13",1995,"Strat_summer_insitu",-0.0965199923441499,"MAB","Winter",-7.9446530079282,132
"14",1996,"Strat_summer_insitu",0.0412545173747906,"MAB","Winter",-7.9446530079282,203
"15",1997,"Strat_summer_insitu",0.642781860362416,"MAB","Winter",-7.9446530079282,511
"16",1998,"Strat_summer_insitu",-0.0815020678303864,"MAB","Winter",-7.9446530079282,236
"17",1999,"Strat_summer_insitu",-0.116993476363697,"MAB","Winter",-7.9446530079282,380
"18",2000,"Strat_summer_insitu",0.00339326179881091,"MAB","Winter",-7.9446530079282,219
"19",2001,"Strat_summer_insitu",-0.0981843735793687,"MAB","Winter",-7.9446530079282,289
"20",2002,"Strat_summer_insitu",-0.318964862264543,"MAB","Winter",-7.9446530079282,274
"21",2003,"Strat_summer_insitu",-0.0609629748131203,"MAB","Winter",-7.9446530079282,166
"22",2004,"Strat_summer_insitu",-0.208376375808536,"MAB","Winter",-7.9446530079282,226
"23",2005,"Strat_summer_insitu",-0.0779972023325663,"MAB","Winter",-7.9446530079282,228
"24",2006,"Strat_summer_insitu",0.251793809446187,"MAB","Winter",-7.9446530079282,240
"25",2007,"Strat_summer_insitu",-0.0953622961305494,"MAB","Winter",-7.9446530079282,292
"26",2008,"Strat_summer_insitu",-0.0984127414378056,"MAB","Winter",-7.9446530079282,163
"27",2009,"Strat_summer_insitu",0.146642153676212,"MAB","Winter",-7.9446530079282,218
"28",2010,"Strat_summer_insitu",-0.0132310635836431,"MAB","Winter",-7.9446530079282,204
"29",2011,"Strat_summer_insitu",-0.0580902382068114,"MAB","Winter",-7.9446530079282,205
"30",2012,"Strat_summer_insitu",0.434239293359167,"MAB","Winter",-7.9446530079282,221
"31",2013,"Strat_summer_insitu",-0.21425788263217,"MAB","Winter",-7.9446530079282,197
"32",2014,"Strat_summer_insitu",-0.470448879173147,"MAB","Winter",-7.9446530079282,104
"33",2015,"Strat_summer_insitu",0.191295154484185,"MAB","Winter",-7.9446530079282,113
"34",2017,"Strat_summer_insitu",-0.381459322771671,"MAB","Winter",-7.9446530079282,158
"35",2018,"Strat_summer_insitu",0.245590870770567,"MAB","Winter",-7.9446530079282,67
"36",2019,"Strat_summer_insitu",0.440691878756863,"MAB","Winter",-7.9446530079282,144
"37",2020,"Strat_summer_insitu",-0.00243051904470962,"MAB","Winter",-7.9446530079282,103
"38",2021,"Strat_summer_insitu",-0.271142654480243,"MAB","Winter",-7.9446530079282,112
"39",2022,"Strat_summer_insitu",0.0108826011979208,"MAB","Winter",-7.9446530079282,138
"40",1975,"Strat_summer_insitu",0.359185488529024,"NYB","Winter",-7.67286963979285,63
"41",1985,"Strat_summer_insitu",-0.370296697080448,"NYB","Winter",-7.67286963979285,6
"42",1988,"Strat_summer_insitu",0.0971629895581671,"NYB","Winter",-7.67286963979285,11
"43",1990,"Strat_summer_insitu",0.241441388533187,"NYB","Winter",-7.67286963979285,42
"44",1991,"Strat_summer_insitu",-0.00215369205546084,"NYB","Winter",-7.67286963979285,70
"45",1992,"Strat_summer_insitu",-0.229243019355137,"NYB","Winter",-7.67286963979285,97
"46",1993,"Strat_summer_insitu",-0.09005678980256,"NYB","Winter",-7.67286963979285,115
"47",1994,"Strat_summer_insitu",0.195469116205627,"NYB","Winter",-7.67286963979285,85
"48",1995,"Strat_summer_insitu",-0.129520228525485,"NYB","Winter",-7.67286963979285,40
"49",1996,"Strat_summer_insitu",0.040008539188099,"NYB","Winter",-7.67286963979285,53
"50",1997,"Strat_summer_insitu",0.111238908846264,"NYB","Winter",-7.67286963979285,88
"51",1998,"Strat_summer_insitu",-0.240522836192113,"NYB","Winter",-7.67286963979285,102
"52",1999,"Strat_summer_insitu",0.13104768268921,"NYB","Winter",-7.67286963979285,93
"53",2000,"Strat_summer_insitu",0.0939843738332216,"NYB","Winter",-7.67286963979285,85
"54",2001,"Strat_summer_insitu",-0.20283178699507,"NYB","Winter",-7.67286963979285,129
"55",2002,"Strat_summer_insitu",-0.206938757985899,"NYB","Winter",-7.67286963979285,108
"56",2003,"Strat_summer_insitu",0.0553032488103736,"NYB","Winter",-7.67286963979285,76
"57",2004,"Strat_summer_insitu",-0.292424343455266,"NYB","Winter",-7.67286963979285,92
"58",2005,"Strat_summer_insitu",0.100386926348861,"NYB","Winter",-7.67286963979285,104
"59",2006,"Strat_summer_insitu",0.0131530606247795,"NYB","Winter",-7.67286963979285,88
"60",2007,"Strat_summer_insitu",-0.125393324135835,"NYB","Winter",-7.67286963979285,139
"61",2008,"Strat_summer_insitu",0.221932387035889,"NYB","Winter",-7.67286963979285,70
"62",2009,"Strat_summer_insitu",-0.0907967537060488,"NYB","Winter",-7.67286963979285,92
"63",2010,"Strat_summer_insitu",0.212105135901434,"NYB","Winter",-7.67286963979285,78
"64",2011,"Strat_summer_insitu",0.135807849499941,"NYB","Winter",-7.67286963979285,89
"65",2012,"Strat_summer_insitu",0.265789378288747,"NYB","Winter",-7.67286963979285,97
"66",2013,"Strat_summer_insitu",-0.327304037539497,"NYB","Winter",-7.67286963979285,83
"67",2014,"Strat_summer_insitu",0.214194599776495,"NYB","Winter",-7.67286963979285,15
"68",2015,"Strat_summer_insitu",-0.46715774765109,"NYB","Winter",-7.67286963979285,42
"69",2017,"Strat_summer_insitu",-0.403059600027201,"NYB","Winter",-7.67286963979285,42
"70",2018,"Strat_summer_insitu",0.163228082885103,"NYB","Winter",-7.67286963979285,22
"71",2019,"Strat_summer_insitu",0.322285356591448,"NYB","Winter",-7.67286963979285,74
"72",2020,"Strat_summer_insitu",0.147107282221843,"NYB","Winter",-7.67286963979285,36
"73",2021,"Strat_summer_insitu",-0.165899307286276,"NYB","Winter",-7.67286963979285,56
"74",2022,"Strat_summer_insitu",0.222767126425674,"NYB","Winter",-7.67286963979285,57
"75",1975,"Strat_summer_insitu",0.180867099115901,"NES","Winter",-7.94461826355469,72
"76",1976,"Strat_summer_insitu",0.770611744734178,"NES","Winter",-7.94461826355469,1
"77",1978,"Strat_summer_insitu",0.130393640232853,"NES","Winter",-7.94461826355469,45
"78",1979,"Strat_summer_insitu",0.0848846488945938,"NES","Winter",-7.94461826355469,67
"79",1980,"Strat_summer_insitu",-0.0880089373029586,"NES","Winter",-7.94461826355469,10
"80",1981,"Strat_summer_insitu",0.364984219685097,"NES","Winter",-7.94461826355469,5
"81",1982,"Strat_summer_insitu",-0.00704816280775813,"NES","Winter",-7.94461826355469,34
"82",1984,"Strat_summer_insitu",0.0401878268090362,"NES","Winter",-7.94461826355469,32
"83",1985,"Strat_summer_insitu",-0.199887878107206,"NES","Winter",-7.94461826355469,56
"84",1987,"Strat_summer_insitu",0.0955557173081821,"NES","Winter",-7.94461826355469,88
"85",1988,"Strat_summer_insitu",-0.0461340578349063,"NES","Winter",-7.94461826355469,51
"86",1989,"Strat_summer_insitu",-0.0440198350786062,"NES","Winter",-7.94461826355469,198
"87",1990,"Strat_summer_insitu",-0.123885838495194,"NES","Winter",-7.94461826355469,276
"88",1991,"Strat_summer_insitu",-0.095750915633851,"NES","Winter",-7.94461826355469,511
