"","Year","Variable","Val","Loc","N","season","Intercept"
"1",1975,"Surf_Salinity",0.185599204154945,"MAB",72,"winter",33.0311931175941
"2",1984,"Surf_Salinity",0.597893269896744,"MAB",6,"winter",33.0311931175941
"3",1985,"Surf_Salinity",1.03009534825438,"MAB",7,"winter",33.0311931175941
"4",1988,"Surf_Salinity",-0.807236814352526,"MAB",52,"winter",33.0311931175941
"5",1989,"Surf_Salinity",0.0987031280759575,"MAB",92,"winter",33.0311931175941
"6",1990,"Surf_Salinity",0.172074944187432,"MAB",76,"winter",33.0311931175941
"7",1991,"Surf_Salinity",0.156917830644461,"MAB",188,"winter",33.0311931175941
"8",1992,"Surf_Salinity",-0.180709973110534,"MAB",250,"winter",33.0311931175941
"9",1993,"Surf_Salinity",-0.612362861521773,"MAB",278,"winter",33.0311931175941
"10",1994,"Surf_Salinity",-0.394291447584803,"MAB",241,"winter",33.0311931175941
"11",1995,"Surf_Salinity",0.521359186742883,"MAB",132,"winter",33.0311931175941
"12",1996,"Surf_Salinity",-0.233703741467663,"MAB",217,"winter",33.0311931175941
"13",1997,"Surf_Salinity",-1.63993676351527,"MAB",514,"winter",33.0311931175941
"14",1998,"Surf_Salinity",-0.746517888571068,"MAB",238,"winter",33.0311931175941
"15",1999,"Surf_Salinity",-0.648450037578378,"MAB",380,"winter",33.0311931175941
"16",2000,"Surf_Salinity",0.596331000063462,"MAB",219,"winter",33.0311931175941
"17",2001,"Surf_Salinity",-0.12311088269927,"MAB",290,"winter",33.0311931175941
"18",2002,"Surf_Salinity",0.633989220901213,"MAB",279,"winter",33.0311931175941
"19",2003,"Surf_Salinity",0.36938010403641,"MAB",187,"winter",33.0311931175941
"20",2004,"Surf_Salinity",0.246369568249475,"MAB",243,"winter",33.0311931175941
"21",2005,"Surf_Salinity",-0.714219474538185,"MAB",241,"winter",33.0311931175941
"22",2006,"Surf_Salinity",-0.357059668269753,"MAB",243,"winter",33.0311931175941
"23",2007,"Surf_Salinity",0.328554906715372,"MAB",298,"winter",33.0311931175941
