year,month,day,hour,time,id,pid,ptid,x,y,lat,lon,p_cent,p_edge,area,radius,depth,p_grad,DsqP,type,centers,Ege,Erg,Ely,Esp,Emg,DpDt,Dp,u,v,uv,precip,precipArea
2002,5,3,6,37377.25,0,0,67.0,388,167,45.237297867133506,8.421575462284228,,,0,0.0,,8.351344336368829,,0,0,0,0,0,0,0,,,,,,0.0,0.0
2002,5,3,9,37377.375,1,1,71.0,392,177,47.4725374424582,10.097504384075286,1005.6844483628212,1007.6844483628212,61875,140.3403869441083,2.0,7.823243681140988,22.343483425760496,1,1,3,0,0,3,0,,,41.9876251345069,82.84910020374801,92.8812901988692,1.567262513106389,451.0
2002,5,3,12,37377.5,2,2,71.0,394,178,47.62242600047084,10.762537223142463,1004.4493626511279,1008.4493626511279,152500,220.32307560268868,4.0,9.384798200664644,27.27939123130032,1,1,0,0,0,0,0,-11.583460520431297,-1.2350857116932457,16.61398998671819,5.55561573769133,17.518262742168698,0.897578365481311,378.0
2002,5,3,15,37377.625,2,2,71.0,400,184,48.738484914856976,12.994616791916505,1003.656451789765,1009.656451789765,362500,339.6871115329872,6.0,10.414696915332902,9.170716150628142,1,1,0,0,0,0,0,-7.307961144895075,-0.7929108613629069,54.55953139475315,41.36669637205744,68.46857698793691,0.9466561627114422,424.0
2002,5,3,18,37377.75,2,2,71.0,400,185,48.972404481990125,13.066536142654558,1004.7848839312801,1010.7848839312801,509375,402.6649950950149,6.0,9.829071128203784,8.008784529322439,1,1,0,0,0,0,0,10.363301209052077,1.128432141515077,1.7498180119695619,8.670223036032327,8.845034232243464,1.243510221603734,523.0
2002,5,3,21,37377.875,3,3,71.0,400,188,49.67262816267757,13.287063998785708,1005.8901443657575,1011.8901443657575,631875,448.4774903296516,6.0,10.478355098763878,10.363094353750421,1,1,0,0,0,0,0,10.044436249508202,1.1052604344773862,5.289744478025184,25.95377360294114,26.48735095994921,1.1195948114030827,558.0
2002,5,4,0,37378.0,3,3,71.0,402,192,50.48786596738511,14.237280465761083,1006.6652372560081,1010.6652372560081,416875,364.2738445220405,4.0,10.360539025607967,6.570859186949601,1,1,0,0,0,0,0,6.9605595057331175,0.7750928902506712,22.408118011356418,30.216769297442355,37.61883703127638,0.8336083858862176,598.0
2002,5,4,3,37378.125,3,1,71.0,405,196,51.22593768753486,15.551218286726579,1007.4697119273468,1011.4343052475323,635000,449.5851173323102,3.9645933201855224,10.01770812819835,4.73510002818075,2,0,0,0,0,1,0,7.149063587742569,0.8044746713386849,30.498686776788027,27.356610260158053,40.97016011727083,1.05015819012159,694.0
2002,5,4,6,37378.25,4,2,71.0,402,206,53.702640300896384,15.47597138489838,1008.6437600797551,1010.0628892558366,282500,299.8708769569344,1.4191291760814784,9.995710346630197,2.059563471417496,2,0,0,0,0,0,0,10.092422684786419,1.1740481524083588,-1.6510356454981654,91.79892180437375,91.8137678300386,0.9081929847198297,706.0
2002,5,4,9,37378.375,3,3,71.0,404,210,54.47998836928113,16.57610335617337,1008.5896808013473,1008.5896808013473,625,14.104739588693906,0.0,10.814891403668426,4.353813479657474,1,1,0,0,0,2,0,-0.46033469638388125,-0.054079278407880335,23.69030748990903,28.81238714711055,37.301264349635936,0.014852360871427715,38.0
2002,5,4,12,37378.5,3,3,71.0,404,210,54.47998836928113,16.57610335617337,,,0,0.0,,10.814891403668426,,0,0,0,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
